nm,lineA1,lineA2,LineB1,LineB2,LineC1,LineC2
398,0.17722,0.18887,0.22661,0.21939,0.27031,0.25887
398.5,0.18275,0.19203,0.23062,0.22211,0.27406,0.26207
399,0.18221,0.1945,0.23096,0.22272,0.27814,0.26292
399.5,0.18433,0.19691,0.23366,0.22682,0.28168,0.26768
400,0.18936,0.1994,0.2379,0.23042,0.2877,0.27129
400.5,0.19139,0.20419,0.24274,0.2347,0.2908,0.27469
401,0.19485,0.20464,0.24475,0.23697,0.29341,0.27765
401.5,0.19609,0.20865,0.24985,0.2402,0.29759,0.28514
402,0.19943,0.21301,0.25127,0.24356,0.30237,0.287
402.5,0.20317,0.21767,0.25703,0.24962,0.30754,0.2935
403,0.2066,0.21925,0.25995,0.25034,0.3121,0.29538
403.5,0.21085,0.22318,0.26433,0.256,0.31743,0.29974
404,0.21056,0.22559,0.26688,0.26015,0.32208,0.30446
404.5,0.21455,0.22636,0.2726,0.26236,0.32495,0.30708
405,0.21822,0.23181,0.27739,0.26678,0.33032,0.31207
405.5,0.22102,0.23529,0.27919,0.27107,0.3344,0.31665
406,0.22638,0.23886,0.28249,0.27444,0.33983,0.32327
406.5,0.22795,0.24324,0.28755,0.28105,0.3441,0.32495
407,0.23015,0.24675,0.28992,0.28081,0.3472,0.33008
407.5,0.23466,0.24794,0.29346,0.285,0.35037,0.33629
408,0.23521,0.24969,0.2979,0.2876,0.35652,0.3378
408.5,0.2399,0.25354,0.30098,0.29253,0.35928,0.34157
409,0.23991,0.25507,0.30312,0.29391,0.3629,0.3445
409.5,0.24318,0.25858,0.30785,0.29947,0.36819,0.34924
410,0.24707,0.26074,0.3093,0.29935,0.37184,0.35257
410.5,0.24744,0.26276,0.3138,0.30327,0.3752,0.35327
411,0.24872,0.26335,0.31441,0.30484,0.37611,0.35722
411.5,0.25146,0.26607,0.31644,0.30658,0.38052,0.36252
412,0.25293,0.26746,0.31815,0.30888,0.38167,0.36261
412.5,0.25343,0.26892,0.31918,0.31279,0.38483,0.36533
413,0.25725,0.27182,0.32199,0.31328,0.38719,0.3685
413.5,0.25536,0.27258,0.32333,0.31155,0.39055,0.37022
414,0.25664,0.27287,0.32388,0.31693,0.38828,0.36989
414.5,0.25966,0.27345,0.32306,0.31622,0.39041,0.36792
415,0.25896,0.27354,0.32768,0.31622,0.39151,0.37224
415.5,0.26128,0.27629,0.32693,0.31683,0.39577,0.37373
416,0.25949,0.27811,0.33205,0.32179,0.39598,0.37282
416.5,0.2627,0.27614,0.32993,0.32112,0.39572,0.37706
417,0.26311,0.28032,0.32957,0.31886,0.39819,0.3784
417.5,0.26335,0.28069,0.32903,0.319,0.39851,0.37697
418,0.26462,0.27823,0.32991,0.32172,0.40002,0.37828
418.5,0.2632,0.2816,0.33173,0.32332,0.39906,0.38092
419,0.26608,0.28268,0.33406,0.32497,0.40221,0.38097
419.5,0.26747,0.28322,0.3374,0.32648,0.40192,0.38356
420,0.26727,0.285,0.338,0.32666,0.40573,0.38478
420.5,0.26971,0.28604,0.33945,0.32834,0.40948,0.38716
421,0.2718,0.28946,0.34337,0.33247,0.41182,0.38853
421.5,0.27467,0.2897,0.34296,0.33537,0.41617,0.394
422,0.27765,0.29311,0.34836,0.33781,0.41861,0.39656
422.5,0.27975,0.29718,0.35004,0.33989,0.42284,0.40237
423,0.28105,0.30075,0.354,0.34566,0.42937,0.40427
423.5,0.28616,0.30309,0.35857,0.34724,0.43044,0.40839
424,0.28883,0.30817,0.36363,0.35448,0.43712,0.41519
424.5,0.29439,0.31013,0.36667,0.35687,0.44473,0.423
425,0.29639,0.31418,0.37332,0.35948,0.44791,0.42442
425.5,0.30014,0.31837,0.37868,0.36551,0.45572,0.4326
426,0.30362,0.32335,0.38342,0.37222,0.45992,0.43771
426.5,0.30859,0.32793,0.38736,0.37582,0.46811,0.4417
427,0.31198,0.32939,0.39293,0.38037,0.47371,0.44913
427.5,0.31618,0.33755,0.39816,0.38451,0.47789,0.45409
428,0.32124,0.33961,0.40012,0.39096,0.4856,0.46068
428.5,0.3248,0.34363,0.40768,0.39644,0.48973,0.46559
429,0.32658,0.34624,0.4111,0.3999,0.49615,0.4693
429.5,0.33054,0.34984,0.41734,0.40302,0.50049,0.47566
430,0.33324,0.35393,0.41956,0.40659,0.50552,0.4776
430.5,0.33583,0.35555,0.42393,0.40875,0.5097,0.48302
431,0.3378,0.35991,0.4254,0.41273,0.51247,0.48628
431.5,0.34138,0.36082,0.42981,0.41612,0.5164,0.49019
432,0.34338,0.36433,0.43039,0.41998,0.51685,0.49103
432.5,0.34444,0.36298,0.43199,0.41983,0.51894,0.49289
433,0.34392,0.36641,0.43225,0.42012,0.51938,0.49338
433.5,0.34364,0.3654,0.4314,0.41937,0.51881,0.49373
434,0.34233,0.36443,0.43271,0.41911,0.51823,0.49196
434.5,0.34293,0.36143,0.42828,0.41591,0.51546,0.49072
435,0.34094,0.35841,0.42639,0.41455,0.51227,0.48488
435.5,0.33707,0.35626,0.422,0.41035,0.50641,0.48204
436,0.33258,0.35277,0.41676,0.40538,0.50041,0.47556
436.5,0.32831,0.34862,0.40959,0.3999,0.49355,0.46933
437,0.32288,0.34256,0.40303,0.39372,0.48599,0.45992
437.5,0.31851,0.33682,0.39951,0.38567,0.47926,0.45445
438,0.31149,0.32828,0.39015,0.3779,0.46738,0.44608
438.5,0.30579,0.32373,0.38275,0.37057,0.45975,0.43359
439,0.29893,0.31705,0.37141,0.36177,0.44879,0.42462
439.5,0.29106,0.30907,0.36351,0.35506,0.4371,0.41539
440,0.28662,0.30334,0.35672,0.3459,0.42841,0.40596
440.5,0.27794,0.29524,0.34789,0.33772,0.41711,0.39484
441,0.27304,0.29031,0.33997,0.33162,0.41068,0.38757
441.5,0.26779,0.28374,0.33217,0.32352,0.39841,0.38023
442,0.26176,0.27449,0.32529,0.31715,0.38931,0.36678
442.5,0.25417,0.27049,0.31696,0.30676,0.38033,0.3604
443,0.24931,0.26569,0.31003,0.29988,0.37148,0.35286
443.5,0.24306,0.25903,0.30232,0.29521,0.36308,0.34508
444,0.2406,0.25453,0.2975,0.28798,0.35439,0.33842
444.5,0.23572,0.25089,0.29076,0.28323,0.34941,0.33217
445,0.23422,0.24561,0.2868,0.27737,0.34279,0.32631
445.5,0.22803,0.24197,0.28082,0.2737,0.33707,0.32021
446,0.22533,0.23796,0.27821,0.2684,0.33241,0.31688
446.5,0.22054,0.23494,0.27271,0.26576,0.32817,0.31227
447,0.21828,0.23221,0.2692,0.26352,0.3235,0.30792
447.5,0.2168,0.23241,0.26575,0.25883,0.32097,0.30348
448,0.2164,0.2292,0.26558,0.25731,0.31926,0.30138
448.5,0.21397,0.22684,0.26338,0.25446,0.31558,0.29993
449,0.21292,0.2253,0.26091,0.25238,0.31352,0.29884
449.5,0.21327,0.22502,0.26045,0.25238,0.31351,0.2959
450,0.2112,0.22327,0.25877,0.24956,0.31047,0.29485
450.5,0.2108,0.22415,0.25777,0.25133,0.30893,0.29364
451,0.20996,0.22322,0.25681,0.24887,0.30907,0.29279
451.5,0.21233,0.22354,0.2581,0.24933,0.30919,0.2932
452,0.21083,0.22299,0.25716,0.24867,0.30867,0.29315
452.5,0.21109,0.22308,0.25732,0.24908,0.31029,0.29385
453,0.21165,0.22389,0.25838,0.25021,0.30838,0.29294
453.5,0.21266,0.22406,0.25775,0.24902,0.31036,0.29468
454,0.21204,0.22453,0.25826,0.24666,0.30869,0.29366
454.5,0.21167,0.22475,0.25703,0.24878,0.30957,0.29329
455,0.21095,0.22467,0.2574,0.24895,0.30911,0.293
455.5,0.21135,0.22485,0.25554,0.24765,0.31004,0.29378
456,0.21208,0.22406,0.25745,0.24965,0.30873,0.29408
456.5,0.21089,0.22438,0.2561,0.24763,0.30991,0.29214
457,0.21164,0.22301,0.25705,0.24725,0.30727,0.29288
457.5,0.2117,0.22289,0.25597,0.24692,0.30823,0.29112
458,0.21068,0.22278,0.25481,0.24718,0.30724,0.29129
458.5,0.20985,0.22363,0.25478,0.24669,0.30508,0.29024
459,0.21048,0.22224,0.25433,0.2475,0.30637,0.29004
459.5,0.20805,0.2227,0.25363,0.24504,0.30508,0.29022
460,0.20906,0.22136,0.25142,0.24522,0.30394,0.28764
460.5,0.20642,0.22148,0.24911,0.24402,0.3026,0.28709
461,0.20578,0.21815,0.24884,0.24261,0.30017,0.28578
461.5,0.20523,0.21516,0.24835,0.23927,0.29878,0.28253
462,0.20407,0.21564,0.2453,0.23944,0.29666,0.28044
462.5,0.2021,0.21336,0.24445,0.23619,0.29462,0.27847
463,0.20067,0.2131,0.24409,0.23428,0.29198,0.27678
463.5,0.19873,0.21074,0.24135,0.23164,0.28973,0.27466
464,0.19934,0.21083,0.24008,0.23248,0.29016,0.27444
464.5,0.19682,0.20752,0.23781,0.22997,0.28691,0.27101
465,0.19498,0.2067,0.23592,0.22943,0.28415,0.26944
465.5,0.19276,0.2056,0.235,0.22783,0.28143,0.26807
466,0.19138,0.20329,0.23233,0.22534,0.27904,0.26559
466.5,0.18808,0.20084,0.22964,0.22101,0.27559,0.26186
467,0.18594,0.1971,0.22798,0.22002,0.27386,0.26053
467.5,0.1841,0.19446,0.22484,0.21719,0.27116,0.25479
468,0.18324,0.19221,0.22191,0.21625,0.26706,0.25391
468.5,0.18045,0.19176,0.22009,0.21404,0.26375,0.24995
469,0.17975,0.18927,0.21823,0.21127,0.26317,0.24867
469.5,0.17726,0.18863,0.21648,0.21028,0.25912,0.24629
470,0.17502,0.18594,0.21404,0.20721,0.25821,0.24417
470.5,0.17418,0.18398,0.2121,0.20439,0.25372,0.24042
471,0.17111,0.18031,0.20946,0.20322,0.25174,0.23923
471.5,0.16862,0.1792,0.20595,0.1998,0.24878,0.23473
472,0.16791,0.17632,0.2047,0.19705,0.24554,0.23189
472.5,0.16461,0.17497,0.20285,0.19447,0.24185,0.22908
473,0.1613,0.17241,0.19905,0.19211,0.23914,0.22542
473.5,0.1613,0.16917,0.19601,0.1899,0.237,0.22462
474,0.15788,0.16823,0.19333,0.18712,0.23212,0.22057
474.5,0.15405,0.1644,0.19077,0.18304,0.22948,0.21544
475,0.15114,0.15967,0.18639,0.17984,0.2238,0.21156
475.5,0.14857,0.15779,0.18263,0.17694,0.22057,0.2092
476,0.14561,0.15443,0.17999,0.1738,0.21608,0.20544
476.5,0.14261,0.15254,0.1756,0.17114,0.21219,0.20132
477,0.13934,0.14871,0.17307,0.16782,0.20862,0.19749
477.5,0.13702,0.14557,0.17038,0.16489,0.20488,0.19421
478,0.13527,0.14326,0.16675,0.16203,0.19978,0.19034
478.5,0.13145,0.13936,0.16353,0.15958,0.19673,0.18774
479,0.12961,0.13823,0.15959,0.15587,0.19359,0.1835
479.5,0.12865,0.13385,0.15724,0.15271,0.19035,0.17873
480,0.12323,0.1313,0.15245,0.14786,0.18585,0.17513
480.5,0.12134,0.12891,0.15074,0.1456,0.1823,0.17107
481,0.11858,0.12511,0.14709,0.1418,0.17645,0.16713
481.5,0.11508,0.12128,0.1427,0.13869,0.17351,0.16389
482,0.11307,0.12015,0.14044,0.13483,0.16982,0.16138
482.5,0.11121,0.11731,0.13683,0.13176,0.16539,0.15724
483,0.10852,0.11469,0.13466,0.12943,0.16312,0.15462
483.5,0.10641,0.11108,0.13133,0.12692,0.15799,0.15105
484,0.10211,0.10858,0.12744,0.12396,0.15625,0.1469
484.5,0.09972,0.106,0.12363,0.11992,0.15213,0.14355
485,0.09731,0.10236,0.12128,0.11595,0.14723,0.14009
485.5,0.09502,0.09996,0.11682,0.11363,0.14418,0.13557
486,0.09285,0.09779,0.11441,0.11028,0.14024,0.1302
486.5,0.08975,0.0957,0.11075,0.10803,0.1358,0.12901
487,0.08775,0.09268,0.10802,0.10484,0.13139,0.12479
487.5,0.08472,0.08949,0.1039,0.10156,0.12891,0.12263
488,0.08203,0.08685,0.10103,0.09866,0.12453,0.11702
488.5,0.07947,0.08549,0.09924,0.09428,0.12238,0.11362
489,0.07816,0.08243,0.09653,0.09296,0.11734,0.11183
489.5,0.07457,0.0793,0.09222,0.08946,0.11377,0.10709
490,0.07153,0.07764,0.09013,0.08649,0.11069,0.10402
490.5,0.07069,0.07448,0.08707,0.08463,0.10832,0.10181
491,0.06812,0.0717,0.08475,0.08142,0.10451,0.09824
491.5,0.06628,0.07008,0.08145,0.07991,0.10095,0.09544
492,0.06369,0.06862,0.07875,0.07542,0.09663,0.09302
492.5,0.0614,0.06432,0.07539,0.07379,0.09378,0.08792
493,0.05879,0.06247,0.07426,0.0699,0.09079,0.08612
493.5,0.05617,0.05847,0.07111,0.06802,0.08868,0.08144
494,0.05472,0.05829,0.06883,0.06602,0.08522,0.07907
494.5,0.05235,0.05653,0.06593,0.06323,0.08058,0.07669
495,0.05092,0.05374,0.06378,0.06126,0.07808,0.07486
495.5,0.04947,0.05196,0.06192,0.05916,0.07745,0.07204
496,0.04822,0.05092,0.06,0.05753,0.07439,0.06905
496.5,0.0461,0.04881,0.05736,0.05571,0.07097,0.06721
497,0.04367,0.04652,0.05519,0.05292,0.0681,0.06458
497.5,0.0424,0.04561,0.05214,0.05032,0.06512,0.06036
498,0.04105,0.04321,0.04942,0.04886,0.06369,0.05864
498.5,0.03851,0.04214,0.04897,0.04651,0.06013,0.05632
499,0.03745,0.0397,0.04709,0.04584,0.05873,0.05507
499.5,0.03607,0.03896,0.04485,0.04347,0.05598,0.05293
500,0.03499,0.0368,0.04202,0.04198,0.05441,0.05074
500.5,0.03278,0.035,0.04272,0.03952,0.05122,0.04854
501,0.03226,0.03346,0.03871,0.03796,0.04942,0.04605
501.5,0.02963,0.0318,0.03761,0.0369,0.04829,0.04437
502,0.02969,0.03169,0.03636,0.03458,0.04726,0.04292
502.5,0.02821,0.03026,0.03503,0.03365,0.04384,0.04143
503,0.02664,0.02818,0.03403,0.03285,0.04236,0.0399
503.5,0.02655,0.02861,0.034,0.03027,0.04053,0.03778
504,0.02417,0.02623,0.03123,0.03018,0.03989,0.03618
504.5,0.02344,0.02504,0.03053,0.02948,0.03673,0.03523
505,0.02295,0.02545,0.02892,0.02722,0.03711,0.03319
505.5,0.02232,0.02435,0.02718,0.02669,0.03592,0.03281
506,0.02171,0.02304,0.02734,0.02487,0.03352,0.03139
506.5,0.02019,0.0224,0.02568,0.02452,0.0322,0.03062
507,0.01955,0.02106,0.02379,0.02335,0.03154,0.02927
507.5,0.01941,0.02039,0.02402,0.02269,0.0298,0.0275
508,0.01706,0.01961,0.02341,0.02161,0.02933,0.02687
508.5,0.01805,0.01851,0.02344,0.02055,0.02821,0.02612
509,0.01625,0.01842,0.02135,0.02003,0.02708,0.02638
509.5,0.0155,0.01701,0.02147,0.01962,0.02646,0.0247
510,0.01624,0.01706,0.02026,0.01883,0.02557,0.02235
510.5,0.01596,0.01697,0.01941,0.01855,0.0256,0.02203
511,0.01459,0.01671,0.01839,0.0182,0.02402,0.02205
511.5,0.01445,0.01596,0.01826,0.01849,0.02316,0.02214
512,0.01498,0.01524,0.01793,0.01607,0.02164,0.02048
512.5,0.01266,0.01566,0.01831,0.01732,0.02132,0.02026
513,0.01328,0.01468,0.01593,0.01643,0.02162,0.01999
513.5,0.01379,0.01543,0.0157,0.01637,0.0211,0.02
514,0.01295,0.0144,0.01581,0.01485,0.02013,0.01947
514.5,0.01292,0.01428,0.01523,0.01595,0.01927,0.01817
515,0.01337,0.01436,0.01459,0.01497,0.01929,0.01704
515.5,0.0127,0.01212,0.01485,0.01353,0.0182,0.01794
516,0.01064,0.01175,0.01448,0.01338,0.01776,0.01669
516.5,0.01144,0.01218,0.01283,0.0132,0.0183,0.01575
517,0.01006,0.01224,0.01335,0.01329,0.01782,0.01588
517.5,0.01041,0.01158,0.01257,0.01315,0.01662,0.01633
518,0.01091,0.01056,0.01326,0.01328,0.01607,0.01587
518.5,0.01027,0.01233,0.0132,0.01158,0.01653,0.01607
519,0.01041,0.0112,0.01215,0.01256,0.01765,0.01572
519.5,0.01126,0.0108,0.01408,0.01253,0.01721,0.01506
520,0.0121,0.01225,0.01306,0.01341,0.01743,0.01581
520.5,0.01001,0.01126,0.01292,0.01274,0.01659,0.01543
521,0.01112,0.01126,0.01218,0.01355,0.01648,0.01547
521.5,0.01027,0.01138,0.01167,0.0121,0.01538,0.01425
