nm,lineA1,lineA2,LineB1,LineB2,LineC1,LineC2
557,0.01343,0.01463,0.01706,0.01549,0.02106,0.01985
557.5,0.01416,0.01558,0.0182,0.01634,0.02101,0.01999
558,0.01514,0.01607,0.0173,0.01747,0.02142,0.02092
558.5,0.0144,0.01518,0.01828,0.01736,0.0226,0.02101
559,0.01477,0.01646,0.01808,0.01688,0.02213,0.02057
559.5,0.01436,0.01553,0.01863,0.01758,0.02307,0.02109
560,0.01588,0.01532,0.01837,0.01802,0.02191,0.02119
560.5,0.0144,0.01616,0.01831,0.01723,0.02289,0.02098
561,0.0157,0.0161,0.01875,0.01846,0.02377,0.02208
561.5,0.01625,0.01703,0.0197,0.01894,0.02411,0.02312
562,0.0154,0.01704,0.01994,0.01944,0.02457,0.02191
562.5,0.01688,0.01761,0.01938,0.02051,0.02496,0.02299
563,0.01764,0.01823,0.02087,0.01952,0.02519,0.02367
563.5,0.01703,0.01839,0.02127,0.02032,0.02609,0.02412
564,0.01756,0.01894,0.02138,0.02138,0.02644,0.02513
564.5,0.0177,0.01872,0.02188,0.02063,0.02695,0.02521
565,0.01811,0.01984,0.02216,0.02269,0.02774,0.02628
565.5,0.01918,0.0201,0.02263,0.02258,0.02846,0.02716
566,0.01974,0.02126,0.0233,0.02376,0.02937,0.028
566.5,0.01999,0.02046,0.02339,0.02402,0.03027,0.02747
567,0.02042,0.02188,0.0256,0.02362,0.02951,0.02899
567.5,0.0199,0.02164,0.02576,0.02443,0.0307,0.02954
568,0.02119,0.02147,0.02567,0.02431,0.03105,0.02962
568.5,0.02069,0.02306,0.02629,0.0248,0.03267,0.02972
569,0.02069,0.02287,0.02699,0.02567,0.03195,0.03113
569.5,0.02107,0.02243,0.02596,0.02577,0.03252,0.03116
570,0.02179,0.02411,0.02687,0.02649,0.03297,0.0313
570.5,0.02193,0.02377,0.02768,0.02701,0.03421,0.03206
571,0.0228,0.02423,0.02888,0.0274,0.03387,0.03206
571.5,0.02284,0.0251,0.02875,0.02757,0.03447,0.03293
572,0.02284,0.02408,0.02835,0.02824,0.03574,0.03287
572.5,0.02383,0.02576,0.02907,0.02872,0.0358,0.03349
573,0.02457,0.02554,0.0291,0.02821,0.03563,0.03441
573.5,0.02422,0.02557,0.03026,0.02858,0.03647,0.03419
574,0.02528,0.02638,0.02905,0.02838,0.03572,0.03423
574.5,0.02435,0.02655,0.03049,0.0293,0.03792,0.03505
575,0.02457,0.02635,0.02934,0.02953,0.037,0.03574
575.5,0.02507,0.0256,0.03104,0.02907,0.03706,0.03537
576,0.02455,0.02554,0.03041,0.02855,0.03673,0.03545
576.5,0.02568,0.02676,0.03123,0.02989,0.03783,0.03528
577,0.02441,0.02757,0.03181,0.02983,0.03931,0.03619
577.5,0.0256,0.02861,0.03195,0.03059,0.03784,0.0378
578,0.02547,0.02701,0.03223,0.03195,0.03873,0.03807
578.5,0.02618,0.02811,0.03287,0.03145,0.03955,0.03738
579,0.02612,0.02745,0.03305,0.03181,0.04008,0.03859
579.5,0.02707,0.02884,0.03287,0.03198,0.04033,0.03889
580,0.02663,0.0284,0.03285,0.0323,0.03979,0.03862
580.5,0.02783,0.02882,0.03401,0.03285,0.04095,0.0377
581,0.02753,0.02855,0.03455,0.03258,0.03996,0.03845
581.5,0.028,0.02893,0.03377,0.03261,0.04086,0.03851
582,0.02953,0.02946,0.03427,0.03261,0.0414,0.03932
582.5,0.02818,0.02928,0.0336,0.03226,0.04143,0.03986
583,0.02831,0.03027,0.03464,0.03328,0.04292,0.03944
583.5,0.02808,0.03116,0.03644,0.03371,0.04279,0.04018
584,0.02927,0.03062,0.03537,0.03476,0.04251,0.04085
584.5,0.02866,0.03091,0.0358,0.03445,0.04247,0.0414
585,0.02942,0.02977,0.03423,0.03358,0.04237,0.03934
585.5,0.02837,0.02969,0.03377,0.03322,0.04202,0.03937
586,0.02875,0.02969,0.03502,0.03358,0.0415,0.03918
586.5,0.02858,0.02933,0.03477,0.03355,0.04198,0.04034
587,0.02946,0.03008,0.0349,0.03387,0.04236,0.04022
587.5,0.02872,0.02998,0.03558,0.03386,0.04279,0.03976
588,0.02856,0.03011,0.03477,0.03305,0.04291,0.0396
588.5,0.02812,0.0289,0.0351,0.03374,0.04192,0.03905
589,0.02786,0.03,0.03477,0.03368,0.04193,0.03995
589.5,0.02753,0.03101,0.03432,0.03305,0.04114,0.03967
590,0.02736,0.03029,0.03366,0.03368,0.04193,0.03853
590.5,0.02734,0.02875,0.03371,0.03242,0.0415,0.03818
591,0.02798,0.02924,0.03537,0.03357,0.04114,0.03868
591.5,0.02754,0.02974,0.03406,0.03285,0.04167,0.03868
592,0.02829,0.02914,0.03461,0.03235,0.04198,0.03954
592.5,0.02678,0.02977,0.03375,0.03252,0.04176,0.03896
593,0.02815,0.02954,0.03445,0.03305,0.04201,0.03952
593.5,0.02806,0.03036,0.03511,0.03348,0.04263,0.03949
594,0.02898,0.03123,0.03441,0.03278,0.04306,0.03865
594.5,0.02777,0.0305,0.03461,0.03358,0.04321,0.03969
595,0.02887,0.03157,0.03477,0.03391,0.0435,0.04132
595.5,0.02934,0.03162,0.035,0.03432,0.043,0.04114
596,0.02873,0.03145,0.03528,0.0341,0.04349,0.04156
596.5,0.02917,0.03008,0.03593,0.03433,0.04436,0.04143
597,0.02943,0.0313,0.03618,0.03494,0.0441,0.04062
597.5,0.02954,0.03162,0.03709,0.03464,0.04404,0.04254
598,0.03014,0.03276,0.03799,0.03546,0.04515,0.04251
598.5,0.03114,0.03391,0.03801,0.03595,0.04556,0.0439
599,0.03142,0.03374,0.03772,0.03712,0.04716,0.04454
599.5,0.03185,0.03456,0.03993,0.03873,0.04785,0.04578
600,0.03316,0.03473,0.04131,0.03999,0.05003,0.04579
600.5,0.03328,0.03529,0.04105,0.03998,0.04872,0.04633
601,0.03261,0.03542,0.0407,0.03825,0.04889,0.0466
601.5,0.03343,0.0352,0.0415,0.03969,0.04984,0.04716
602,0.03355,0.03528,0.04187,0.04045,0.05078,0.04825
602.5,0.03465,0.03627,0.04332,0.04108,0.05267,0.04854
603,0.03481,0.03761,0.04449,0.04259,0.0527,0.05016
603.5,0.035,0.0381,0.04463,0.04329,0.05344,0.04997
604,0.03604,0.03844,0.04477,0.04396,0.05351,0.05077
604.5,0.03706,0.0386,0.04509,0.04312,0.0545,0.05077
605,0.037,0.03986,0.04617,0.04434,0.0555,0.05203
605.5,0.03763,0.03934,0.0463,0.04568,0.05641,0.05336
606,0.03708,0.04041,0.04729,0.0463,0.05783,0.0545
606.5,0.03899,0.0415,0.0475,0.04745,0.05856,0.05461
607,0.04012,0.04245,0.04958,0.04807,0.06027,0.05586
607.5,0.04117,0.04323,0.05003,0.04906,0.06203,0.05716
608,0.04146,0.04404,0.05069,0.05058,0.06149,0.0583
608.5,0.04112,0.04411,0.05109,0.05002,0.06288,0.05931
609,0.04187,0.04515,0.05165,0.05014,0.06355,0.05888
609.5,0.04204,0.04462,0.05156,0.04974,0.06226,0.06013
610,0.04272,0.04443,0.05353,0.05023,0.06386,0.06081
610.5,0.04213,0.04482,0.0531,0.05174,0.06464,0.05994
611,0.04265,0.04477,0.05339,0.05106,0.06454,0.06113
611.5,0.04242,0.04527,0.05327,0.05205,0.06619,0.0605
612,0.04286,0.04681,0.05438,0.05319,0.06624,0.06221
612.5,0.0439,0.0466,0.05507,0.05312,0.06606,0.06293
613,0.04427,0.04832,0.05594,0.05409,0.06712,0.06367
613.5,0.0439,0.04759,0.05621,0.05362,0.06769,0.06381
614,0.04427,0.04834,0.05534,0.05219,0.06769,0.06369
614.5,0.04373,0.04735,0.05479,0.0536,0.06697,0.06308
615,0.04373,0.04692,0.05579,0.0536,0.06667,0.06441
615.5,0.04375,0.04697,0.05553,0.05318,0.06728,0.06262
616,0.04482,0.0475,0.05644,0.0537,0.06731,0.06351
616.5,0.04443,0.04787,0.05698,0.05455,0.06914,0.06445
617,0.04466,0.04858,0.05716,0.05443,0.06985,0.06596
617.5,0.04599,0.0491,0.05783,0.0556,0.06909,0.06549
618,0.04507,0.049,0.0575,0.05519,0.06895,0.06631
618.5,0.04544,0.04849,0.05762,0.05516,0.069,0.06526
619,0.04494,0.04768,0.05652,0.05559,0.06857,0.06436
619.5,0.04454,0.04791,0.05711,0.05408,0.06909,0.06459
620,0.04518,0.04836,0.05698,0.05553,0.06853,0.06595
620.5,0.04463,0.04819,0.05704,0.05493,0.06905,0.06538
621,0.0452,0.04752,0.05605,0.05373,0.06729,0.06499
621.5,0.04507,0.04753,0.05553,0.05461,0.06792,0.06416
622,0.04436,0.04691,0.05551,0.05353,0.06743,0.06389
622.5,0.0442,0.04697,0.0558,0.05374,0.06715,0.06293
623,0.04344,0.04555,0.05493,0.05283,0.06732,0.06259
623.5,0.04321,0.04552,0.05499,0.05374,0.0656,0.06288
624,0.04179,0.04411,0.0533,0.05176,0.06512,0.06059
624.5,0.04214,0.04446,0.05365,0.05202,0.06522,0.06117
625,0.04214,0.04518,0.05228,0.05124,0.06436,0.06039
625.5,0.04236,0.04443,0.05275,0.05069,0.06383,0.06075
626,0.04152,0.04527,0.05237,0.04924,0.06377,0.06065
626.5,0.04176,0.04539,0.05231,0.04922,0.06296,0.06075
627,0.04219,0.04417,0.05247,0.04958,0.06364,0.05946
627.5,0.0421,0.04453,0.0515,0.0498,0.06346,0.06032
628,0.04149,0.04422,0.0509,0.05075,0.06155,0.05968
628.5,0.04103,0.04431,0.05186,0.04947,0.06281,0.05873
629,0.04115,0.04465,0.05223,0.04912,0.06308,0.05901
629.5,0.0412,0.0443,0.05173,0.05029,0.06216,0.05887
630,0.04187,0.04443,0.05214,0.04967,0.06296,0.05875
630.5,0.04057,0.04448,0.0511,0.0489,0.06268,0.05891
631,0.04068,0.04446,0.05032,0.04898,0.06171,0.0585
631.5,0.04065,0.04431,0.05081,0.04869,0.06187,0.05821
632,0.04099,0.04341,0.05051,0.04906,0.06152,0.05891
632.5,0.04111,0.0439,0.05011,0.04826,0.06183,0.05832
633,0.04167,0.04434,0.05087,0.04803,0.06268,0.05873
633.5,0.04219,0.04459,0.05119,0.04915,0.06279,0.05957
634,0.04259,0.04552,0.05173,0.05046,0.06314,0.05905
634.5,0.04344,0.0459,0.05193,0.05118,0.06404,0.06122
635,0.04439,0.04652,0.05388,0.05223,0.06396,0.06256
635.5,0.04454,0.04752,0.05551,0.05127,0.06563,0.06233
636,0.04431,0.04787,0.05482,0.05299,0.06631,0.06236
636.5,0.04462,0.04832,0.05544,0.05298,0.06783,0.06372
637,0.04526,0.04848,0.05594,0.05443,0.06801,0.06432
637.5,0.04677,0.05081,0.05768,0.0542,0.06947,0.06496
638,0.048,0.05147,0.05904,0.05609,0.07227,0.06703
638.5,0.04987,0.05351,0.06139,0.05859,0.07416,0.06932
639,0.05173,0.05371,0.06284,0.06046,0.0757,0.07054
639.5,0.0528,0.05586,0.06317,0.06111,0.07651,0.07188
640,0.0533,0.0573,0.06535,0.06316,0.07858,0.07556
640.5,0.05481,0.0583,0.0666,0.06392,0.08182,0.0762
641,0.0567,0.05994,0.06876,0.06604,0.08337,0.07869
641.5,0.05983,0.06229,0.07091,0.06961,0.0863,0.08099
642,0.06055,0.06526,0.07385,0.07069,0.08942,0.08536
642.5,0.0627,0.06679,0.07674,0.07359,0.09273,0.08612
643,0.06427,0.06952,0.07898,0.0762,0.0957,0.08942
643.5,0.06693,0.07033,0.0806,0.07854,0.09796,0.09201
644,0.06857,0.07233,0.08359,0.08055,0.10146,0.09563
644.5,0.07072,0.0751,0.08694,0.0833,0.10536,0.09804
645,0.07358,0.07773,0.08987,0.08638,0.10837,0.10199
645.5,0.07474,0.07889,0.09167,0.08817,0.11226,0.1048
646,0.07806,0.08215,0.09398,0.09062,0.1138,0.10626
646.5,0.07962,0.08466,0.09705,0.09412,0.11703,0.11217
647,0.0826,0.08737,0.09915,0.09659,0.12082,0.11435
647.5,0.08449,0.08977,0.10277,0.09993,0.12416,0.11665
648,0.08727,0.09198,0.10663,0.10336,0.12875,0.12135
648.5,0.08868,0.09413,0.10918,0.10619,0.13283,0.12624
649,0.09233,0.09804,0.11316,0.10919,0.13646,0.13005
649.5,0.095,0.10007,0.11685,0.1129,0.14043,0.13258
650,0.09767,0.10394,0.12021,0.11642,0.1443,0.13924
650.5,0.10109,0.1067,0.12492,0.11981,0.14949,0.14246
651,0.10355,0.11003,0.1273,0.12433,0.15492,0.14743
651.5,0.10695,0.11279,0.13341,0.12959,0.15967,0.15141
652,0.11113,0.11723,0.13782,0.13422,0.16685,0.15895
652.5,0.11433,0.12207,0.14198,0.13852,0.17261,0.16354
653,0.1189,0.12558,0.14798,0.14314,0.17902,0.16982
653.5,0.1234,0.1308,0.15388,0.14842,0.18459,0.17593
654,0.12875,0.13484,0.15993,0.15437,0.19412,0.1826
654.5,0.13245,0.13924,0.16566,0.16139,0.19926,0.18848
655,0.13634,0.1451,0.17119,0.16704,0.20749,0.19557
655.5,0.14067,0.15103,0.17821,0.1739,0.21474,0.20355
656,0.14723,0.1557,0.18513,0.17999,0.22241,0.21252
656.5,0.15283,0.16075,0.19212,0.18518,0.23128,0.21761
657,0.15915,0.16724,0.19987,0.19176,0.23962,0.22583
657.5,0.16362,0.17287,0.20581,0.20012,0.24815,0.2359
658,0.17009,0.17911,0.21234,0.20482,0.25644,0.24266
658.5,0.17395,0.18448,0.21945,0.21315,0.26311,0.25075
659,0.17758,0.1891,0.2249,0.21693,0.27101,0.25858
659.5,0.18185,0.1931,0.23193,0.22485,0.27745,0.26309
660,0.1873,0.19853,0.23747,0.23026,0.28429,0.2682
660.5,0.19089,0.20192,0.2411,0.23584,0.29135,0.2753
661,0.19492,0.20688,0.24707,0.23891,0.2951,0.27998
661.5,0.1971,0.2079,0.25101,0.24356,0.29961,0.28352
662,0.19966,0.21127,0.25357,0.24657,0.30399,0.28859
662.5,0.20192,0.2132,0.25542,0.24916,0.30611,0.28935
663,0.20238,0.21463,0.25697,0.24831,0.3083,0.29268
663.5,0.20335,0.21608,0.25822,0.25076,0.30956,0.29291
664,0.20358,0.21393,0.25754,0.24989,0.30898,0.29312
664.5,0.20255,0.21373,0.25772,0.2487,0.30579,0.29144
665,0.20024,0.21323,0.25392,0.24768,0.30466,0.28987
665.5,0.19821,0.20941,0.25175,0.24414,0.30156,0.28673
666,0.19513,0.20734,0.24939,0.24123,0.29747,0.28276
666.5,0.19185,0.20436,0.24324,0.23689,0.293,0.27794
667,0.18909,0.19873,0.24017,0.23122,0.28841,0.27251
667.5,0.18315,0.19557,0.23279,0.22804,0.28218,0.26724
668,0.17998,0.18973,0.2281,0.22061,0.27373,0.25841
668.5,0.17342,0.18225,0.21921,0.21454,0.26447,0.24974
669,0.16701,0.17665,0.21201,0.20697,0.25449,0.24287
669.5,0.15984,0.16995,0.20517,0.19887,0.24652,0.23433
670,0.15474,0.16478,0.19669,0.19151,0.23834,0.22562
670.5,0.14696,0.15678,0.18742,0.18248,0.22588,0.21472
671,0.14139,0.14996,0.17963,0.17511,0.21664,0.20401
671.5,0.13487,0.14168,0.17143,0.16544,0.20517,0.19493
672,0.12791,0.13504,0.16335,0.15678,0.19647,0.18434
672.5,0.12033,0.12677,0.15268,0.14867,0.18369,0.17267
673,0.11351,0.11865,0.14384,0.14023,0.17351,0.16316
673.5,0.10562,0.11073,0.13387,0.13036,0.16086,0.15363
674,0.0974,0.10423,0.12541,0.12096,0.15096,0.14294
674.5,0.09178,0.09673,0.11598,0.11259,0.14128,0.13235
675,0.08469,0.08861,0.10742,0.10419,0.13005,0.12309
675.5,0.07947,0.08311,0.10007,0.09592,0.12061,0.11282
676,0.073,0.07704,0.09097,0.08969,0.1122,0.10536
676.5,0.06725,0.07132,0.08571,0.08339,0.10394,0.09746
677,0.06308,0.06706,0.07971,0.07674,0.09583,0.09044
677.5,0.05725,0.06245,0.07265,0.07079,0.08778,0.08353
678,0.05273,0.05605,0.06758,0.06479,0.07951,0.0764
678.5,0.04861,0.05344,0.06102,0.05911,0.07449,0.07043
679,0.04385,0.04608,0.05653,0.05357,0.06702,0.06369
679.5,0.04025,0.04204,0.05006,0.04724,0.06093,0.05632
680,0.03415,0.03703,0.0453,0.04301,0.05479,0.05069
680.5,0.03287,0.03438,0.04062,0.03976,0.04977,0.04601
681,0.03079,0.03011,0.03807,0.0363,0.04581,0.0433
681.5,0.02802,0.03014,0.0367,0.0338,0.04135,0.03972
682,0.02585,0.02695,0.0325,0.03052,0.03851,0.03616
682.5,0.02377,0.02393,0.0287,0.02745,0.03445,0.03311
683,0.01921,0.02206,0.02522,0.02533,0.03064,0.02934
683.5,0.01909,0.01982,0.02412,0.02264,0.02902,0.02785
684,0.0163,0.01859,0.02179,0.01904,0.02467,0.02245
684.5,0.01495,0.01579,0.01891,0.0191,0.02188,0.02177
685,0.01297,0.01495,0.01674,0.01616,0.02074,0.01949
685.5,0.01149,0.01291,0.01563,0.0155,0.01991,0.01743
686,0.01022,0.01221,0.01451,0.01271,0.01721,0.01714
686.5,0.01118,0.01154,0.01317,0.01233,0.01585,0.01599
687,0.00946,0.01094,0.01256,0.01096,0.0144,0.01395
687.5,0.0092,0.01067,0.01147,0.00984,0.01291,0.0119
688,0.00789,0.00941,0.00957,0.00957,0.0123,0.01202
688.5,0.00752,0.00816,0.00873,0.00742,0.01054,0.00984
689,0.00589,0.00639,0.00801,0.00677,0.00987,0.00786
689.5,0.00433,0.00549,0.00739,0.00563,0.00909,0.00787
690,0.00536,0.00591,0.00587,0.0063,0.00778,0.00667
690.5,0.0051,0.00549,0.00574,0.00462,0.00735,0.00589
691,0.00447,0.00523,0.00589,0.0051,0.00705,0.00577
691.5,0.00484,0.00528,0.00572,0.0049,0.00642,0.00591
692,0.00415,0.0051,0.00581,0.00505,0.00775,0.00586
692.5,0.00482,0.00421,0.00456,0.00354,0.00679,0.00497
693,0.00406,0.00488,0.00465,0.00342,0.00534,0.00616
693.5,0.00304,0.00339,0.0042,0.00371,0.00342,0.00565
694,0.00241,0.00363,0.00363,0.00209,0.00421,0.00441
694.5,0.00096,0.00256,0.00266,0.00195,0.00372,0.00316
695,0.00145,0.00262,0.00168,0.00148,0.00311,0.00198
695.5,0.00194,0.00299,0.00185,0.00163,0.00351,0.00374
696,0.00177,0.00201,0.00273,0.00168,0.00276,0.0024
696.5,0.00182,0.00288,0.00139,-0.00021,0.00186,0.00061
697,0.00029,0.00157,0.00092,0.00018,-0.00024,0.0018
697.5,0.00163,0.0002,0.00056,-0.00092,-0.00008,0.00104
698,0.0002,0.00159,0.0018,0.00047,0.00105,0.0002
698.5,0.00157,0.00182,0.00108,0.00082,0.00056,0.00029
699,0.00111,0.00175,0.0005,0.00127,0.0023,0.00182
699.5,0.00227,0.00131,0.00092,0.00212,0.00238,0.00253
700,0.00185,0.00066,0.00133,0.0005,0.00175,0.00133
700.5,0.00023,0.00279,-0.00043,0.00066,0.00227,0.00192
701,0.0004,-0.00049,0.00024,-0.00114,0.0002,0.00128
701.5,0.00113,0.00038,-0.00093,-0.00034,0.00046,0.00073
702,-0.0007,0.00015,0.00111,-0.00058,-0.00024,-0.00006
702.5,-0.00159,-0.00032,0.00117,-0.00107,0.00055,-0.00038
703,-0.00085,-0.00049,0.00034,0.00087,-0.00162,-0.00101
703.5,-0.00041,0.00015,-0.00041,-0.00076,0.00058,0.00029
704,0.00018,0.00041,-0.00066,0.00006,0.00034,0.00064
704.5,0.00027,-0.00101,0.00075,-0.00006,0.0005,-0.00056
705,0.00006,0.00064,-0.00044,0.0013,-0.00035,0.00087
705.5,0.00049,-0.0007,-0.0007,0.00018,-0.00058,-0.00076
706,-0.0014,-0.00111,0,-0.00067,0,-0.00116
706.5,0.00128,-0.00026,0.00043,-0.00085,-0.00017,-0.0004
707,0.00145,-0.00095,-0.00081,-0.00079,-0.00034,-0.00122
707.5,0.00047,-0.00095,-0.00066,-0.00081,-0.00031,-0.00107
708,-0.00079,-0.00006,-0.00093,-0.00044,-0.00056,-0.00125
708.5,0.00055,-0.00078,0.00038,-0.00159,-0.00159,-0.00075
709,0.00014,-0.00011,-0.00003,-0.00098,-0.00092,-0.00107
709.5,-0.00078,0.00037,-0.0011,-0.00101,-0.0002,-0.00038
710,-0.00113,0.0004,-0.00119,-0.00281,-0.00038,-0.00034
710.5,-0.00133,-0.00079,-0.00122,-0.00146,-0.00014,-0.00174
711,-0.00023,-0.00044,-0.00142,-0.00104,-0.00084,-0.00105
711.5,0.00037,0.00073,-0.00047,-0.00102,-0.00012,-0.00076
712,-0.00122,0.0006,0.00032,-0.00072,0.00014,-0.00056
712.5,0.00075,0.00104,0.00121,0.00073,0.00038,-0.00049
713,0.00046,-0.00038,-0.00024,-0.00095,-0.0002,0.00029
713.5,0.00005,-0.00031,-0.00063,-0.00017,0.0005,-0.0005
714,0.00113,0.00085,-0.00089,0.0004,0.00011,0.00056
714.5,0.00009,0.00084,0.0007,-0.0005,0.00084,-0.00012
715,0.00055,0.00203,0.00018,0.00117,-0.00008,0.00136
715.5,0.00168,0.00073,0.00102,0.00092,0.00151,0.0009
716,0.00023,0.0018,0.00104,0.00148,0.00159,0.00014
716.5,0.0009,0.00145,0.00015,-0.00012,-0.00012,-0.00041
717,-0.00006,0.00099,-0.00137,-0.0005,0.00047,0
717.5,-0.00015,0.00136,0.00075,-0.00049,0.00124,0.00067
718,0.00076,0.00066,0.00069,-0.00017,0.00012,-0.00095
718.5,0.00101,0.00183,0.0002,0.00055,0.00058,0.00024
719,0.00139,0.00085,0.00104,0.00011,-0.00041,-0.00052
719.5,0.0005,0.00034,0.0011,0.00076,0.00043,0.00043
720,-0.00186,0.00055,-0.0002,-0.0013,0.00114,-0.00003
720.5,-0.00017,-0.00034,-0.00119,-0.00003,-0.00029,-0.00044
721,0.00127,-0.00078,-0.00034,-0.00021,0.00006,0.00041
721.5,-0.00204,-0.00021,-0.00107,0,-0.00011,-0.00218
722,-0.00029,-0.00114,-0.00116,-0.00211,-0.00139,-0.00084
722.5,-0.00148,-0.00012,-0.00157,-0.00204,-0.0004,-0.00128
723,-0.00159,-0.00058,-0.00157,-0.0013,-0.00139,-0.00206
723.5,-0.00162,-0.00139,-0.00287,-0.00237,-0.00148,-0.00221
724,-0.00029,-0.00182,-0.0024,-0.00206,-0.00319,-0.00105
724.5,-0.00192,-0.00211,-0.00328,-0.00218,-0.00258,-0.00206
725,-0.00107,-0.00032,-0.0025,-0.00043,-0.00183,-0.00243
725.5,-0.00034,-0.00034,-0.00053,-0.0013,-0.00098,-0.00194
726,0.00005,0.00084,-0.00072,-0.00034,-0.0007,0.0005
726.5,-0.00026,0.00093,0.00105,-0.0004,0.00029,0.00047
727,-0.00017,0.00121,-0.0007,-0.00095,0.00056,-0.00035
727.5,0.00024,-0.0005,0.00067,-0.0006,-0.00017,-0.00003
728,0.00021,0.00024,-0.0004,-0.00043,-0.00021,-0.00122
728.5,0.00037,0.00066,-0.00241,-0.00095,-0.00095,-0.00058
729,-0.00195,-0.00063,-0.00035,-0.00093,-0.00092,-0.00084
729.5,-0.00131,0.00014,-0.00194,-0.00317,-0.00122,-0.00264
730,-0.00113,-0.00081,-0.00095,-0.00121,-0.00159,-0.0016
730.5,-0.002,-0.00146,-0.002,0.00066,-0.00066,-0.00095
731,-0.00081,-0.00006,-0.00015,-0.00305,-0.00041,-0.00119
731.5,0.00015,0.00031,-0.00104,-0.00128,-0.00134,-0.00128
732,-0.0006,-0.00095,-0.00119,-0.00098,-0.00038,0.00015
732.5,-0.00098,-0.0004,-0.0022,-0.00153,-0.00192,-0.00157
733,-0.00166,-0.00153,-0.00047,-0.00043,-0.00096,-0.00153
733.5,-0.00075,-0.00172,-0.0011,-0.0007,-0.00281,-0.00237
734,-0.00151,-0.00011,-0.00175,-0.0013,-0.00122,-0.00214
734.5,-0.00066,-0.00105,-0.00256,-0.00182,-0.00211,-0.00156
735,-0.00185,-0.00089,-0.00143,-0.00172,-0.00121,-0.00122
735.5,-0.00078,-0.0011,-0.00159,-0.00029,-0.00075,-0.00101
736,0.00011,-0.00075,-0.00185,-0.00333,-0.00153,-0.00063
736.5,-0.00098,-0.00011,-0.00157,-0.00076,-0.0011,0.00076
737,-0.0005,0.00043,-0.0004,-0.00131,-0.00151,-0.00096
737.5,-0.00075,0.00038,-0.00043,-0.00066,0.00092,-0.00179
738,0.00018,0,-0.00047,-0.00143,-0.00012,-0.00183
738.5,0.0007,0.0009,0.00114,-0.00023,-0.00024,-0.00121
739,0.00011,0.00131,0.00023,-0.00058,-0.00047,-0.00137
739.5,-0.00072,-0.00044,0.00014,-0.00076,-0.00023,-0.00069
740,-0.00102,0.0011,-0.00081,-0.00058,-0.0006,0.00031
740.5,-0.00006,-0.0007,-0.0024,-0.00024,-0.00296,-0.00153
741,-0.00089,0.00038,-0.00146,-0.00093,0.00023,-0.00201
741.5,-0.00017,-0.00031,0.00079,-0.00182,-0.00041,-0.00203
742,0.00032,0.00185,0.00113,0.00041,-0.00035,0.00031
742.5,-0.00003,0.00099,0.0005,0.0018,-0.00085,0.00047
743,-0.00031,-0.00053,-0.00156,-0.00075,0.00078,0.00117
743.5,-0.00023,0.0002,-0.00125,-0.00078,-0.00075,0.00079
744,-0.00049,0.0006,-0.00066,0.00171,-0.00119,-0.00084
744.5,-0.00201,-0.00023,0.00066,-0.00066,-0.00165,-0.00075
745,-0.00032,0.00043,-0.00139,-0.00258,-0.00011,-0.0033
745.5,0.00014,-0.00182,-0.0029,-0.00206,0.00034,-0.00133
746,-0.00096,-0.0007,-0.00238,-0.00153,-0.00124,-0.00169
746.5,0.00087,-0.00072,-0.00053,-0.00166,-0.00159,-0.00186
747,0.00105,0.00075,-0.00182,-0.0004,-0.0013,-0.00153
747.5,-0.00157,-0.00043,-0.00098,-0.00116,0.00015,-0.00175
748,-0.00024,-0.00101,-0.0022,-0.00148,-0.00119,-0.00139
748.5,-0.00153,-0.00038,-0.00182,-0.00227,-0.00075,-0.00053
749,-0.00049,-0.00012,-0.00223,-0.00166,-0.00169,-0.00104
749.5,-0.00012,0.00085,-0.00017,-0.00162,-0.00049,-0.00146
750,-0.00047,-0.00012,-0.00166,-0.00047,-0.00137,0.00073
