nm;bby70;bby72;bby74;bby76;bby78;bby80;bby82;bby84;bby86;bby88;bby90;LHCII;PSII core;PSI maize;C2S2M2;GoodFig2A;OffSetFig2B;ScatFig2C;DegrFig2D;a/b_9_F5;
514.4;0.07318;0.07278;0.07248;0.07227;0.071565;0.070925;0.070515;0.069195;0.06929;0.06865;0.067785;0.071384186;0.071279917;0.059906129;0.070215793;0.060863333;0.080863333;0.106977914;0.071793255;0.022638039;
514.8;0.07227;0.071865;0.071635;0.07135;0.0708;0.069885;0.069585;0.068375;0.06848;0.067965;0.06709;0.070785845;0.070178123;0.058733896;0.069511933;0.060033333;0.080033333;0.106022436;0.070126173;0.023127162;
515.2;0.071165;0.07072;0.070445;0.070215;0.069585;0.06886;0.068625;0.06743;0.06754;0.067025;0.06621;0.070113897;0.068953908;0.057769303;0.068757545;0.05898;0.07898;0.104843819;0.069421201;0.023129438;
515.6;0.07007;0.069805;0.069465;0.069415;0.06859;0.068185;0.067855;0.06663;0.066845;0.06638;0.065455;0.069950922;0.067515456;0.056608575;0.067843421;0.058256667;0.078256667;0.103995396;0.068088122;0.023694162;
516;0.069085;0.068835;0.0687;0.068525;0.06808;0.067405;0.066945;0.06586;0.06604;0.065775;0.064825;0.069606455;0.066077003;0.055811887;0.067275603;0.05758;0.07758;0.103193835;0.06734957;0.024165879;
516.4;0.068505;0.068065;0.067835;0.067765;0.06725;0.066585;0.06643;0.06523;0.0655;0.06522;0.064285;0.069418383;0.064822183;0.054869898;0.066437534;0.056933333;0.076933333;0.102422466;0.066357216;0.02429172;
516.8;0.06762;0.06737;0.067215;0.067085;0.06655;0.06589;0.065755;0.064605;0.06489;0.06462;0.06381;0.069069631;0.063597968;0.053939199;0.065792879;0.05641;0.07641;0.101774624;0.065627251;0.025117263;
517.2;0.06717;0.066735;0.06652;0.06647;0.066105;0.06538;0.06514;0.064185;0.064325;0.06412;0.06341;0.068851567;0.06252678;0.053016888;0.065344786;0.05562;0.07562;0.100860308;0.064790273;0.025021512;
517.6;0.06633;0.06587;0.0658;0.06588;0.065465;0.06478;0.064645;0.063665;0.06386;0.063715;0.06295;0.068745977;0.06173104;0.052442765;0.065121693;0.05512;0.07512;0.100236184;0.064260875;0.025349669;
518;0.06594;0.06547;0.06529;0.065385;0.06503;0.064445;0.06424;0.06333;0.06357;0.06342;0.06276;0.068566169;0.060843484;0.051787937;0.064808865;0.054806667;0.074806667;0.099798918;0.063675127;0.026226055;
518.4;0.06553;0.06508;0.06493;0.06492;0.06458;0.06412;0.06408;0.06297;0.063395;0.063085;0.062425;0.068470986;0.059741691;0.051323553;0.064099993;0.05452;0.07452;0.09938851;0.063483296;0.026674691;
518.8;0.06499;0.06479;0.06451;0.064575;0.06431;0.063675;0.06359;0.062725;0.06314;0.062955;0.06231;0.068699152;0.058976556;0.050892576;0.063856636;0.05416;0.07416;0.09890496;0.062669164;0.027053355;
519.2;0.064725;0.064405;0.06425;0.06435;0.0642;0.063585;0.063485;0.06254;0.062995;0.06284;0.062235;0.068781633;0.05848687;0.05047258;0.063980378;0.053843333;0.073843333;0.098464933;0.062050049;0.02743747;
519.6;0.06444;0.06416;0.063915;0.064105;0.0638;0.063245;0.06313;0.062265;0.06265;0.06258;0.06206;0.068731438;0.057568709;0.050141684;0.06375122;0.053763333;0.073763333;0.098261763;0.061809362;0.028194171;
520;0.06426;0.063855;0.06371;0.06389;0.063645;0.06315;0.063035;0.06214;0.06266;0.06263;0.061955;0.068906657;0.056803575;0.049733669;0.063438382;0.053493333;0.073493333;0.097868783;0.061729565;0.028801593;
520.4;0.064185;0.06383;0.06386;0.063785;0.06367;0.06312;0.06309;0.06227;0.062655;0.06268;0.062045;0.068987149;0.056375099;0.049348277;0.063369752;0.05331;0.07331;0.097562658;0.061425341;0.028995023;
520.8;0.064025;0.06368;0.063565;0.06374;0.06351;0.063145;0.063095;0.06222;0.06273;0.062765;0.062105;0.069367425;0.055762992;0.049241047;0.063582693;0.05337;0.07337;0.097500056;0.061086549;0.029389401;
521.2;0.06384;0.063605;0.06358;0.06354;0.06346;0.063;0.063155;0.062215;0.06279;0.06271;0.062075;0.069515556;0.055120279;0.04900831;0.063265119;0.05325;0.07325;0.097257641;0.061129852;0.029908564;
521.6;0.06385;0.0638;0.06352;0.063615;0.06361;0.063115;0.063145;0.062345;0.06288;0.062905;0.062305;0.069953217;0.054906042;0.048978444;0.063533851;0.05333;0.07333;0.097215414;0.061553268;0.030790694;
522;0.06408;0.063695;0.06358;0.063915;0.06384;0.06314;0.063405;0.062445;0.06297;0.06299;0.06259;0.070426992;0.054477566;0.048865259;0.063741522;0.05338;0.07338;0.097143375;0.061115881;0.031052724;
522.4;0.064195;0.06382;0.063825;0.06404;0.06394;0.063385;0.06342;0.06262;0.06313;0.06325;0.062735;0.070509474;0.054202118;0.048730684;0.06360394;0.053453333;0.073453333;0.097094855;0.060993922;0.031589259;
522.8;0.064065;0.063625;0.06367;0.06396;0.0638;0.06329;0.063585;0.06269;0.06322;0.06336;0.06291;0.071133064;0.053773643;0.048644319;0.063588983;0.053536667;0.073536667;0.097056522;0.06111315;0.032256485;
523.2;0.06421;0.063985;0.06394;0.06426;0.06417;0.063655;0.063795;0.063025;0.063435;0.063775;0.063165;0.071209272;0.05359001;0.048606351;0.063897179;0.053686667;0.073686667;0.097085042;0.061078233;0.032607437;
523.6;0.06439;0.06398;0.064085;0.064255;0.06428;0.06396;0.063945;0.063145;0.063745;0.06399;0.06343;0.071860408;0.0535288;0.048629592;0.064159848;0.053823333;0.073823333;0.097100414;0.061336549;0.033449185;
