nm,Viola80
350,8691.198138
350.4,8901.128239
350.8,9059.70232
351.2,9278.797004
351.6,9401.042958
352,9588.38584
352.4,9812.481142
352.8,9628.527206
353.2,9866.970477
353.6,10182.62599
354,10021.4601
354.4,10349.62996
354.8,10406.57619
355.2,10724.89169
355.6,11061.03107
356,10945.20817
356.4,11015.19395
356.8,11479.01587
357.2,11385.45428
357.6,11947.90287
358,11623.92886
358.4,11829.65116
358.8,12169.70682
359.2,12393.81887
359.6,12651.08755
360,12930.00872
360.4,12921.88629
360.8,13500.7796
361.2,13599.96929
361.6,13763.41275
362,14039.93446
362.4,14351.44683
362.8,14600.11561
363.2,14862.91275
363.6,15210.114
364,15495.80137
364.4,15798.81822
364.8,16123.61568
365.2,16495.45989
365.6,16936.8683
366,17257.18549
366.4,17554.87987
366.8,18078.30361
367.2,18367.22827
367.6,18692.4651
368,19129.33627
368.4,19437.18762
368.8,19840.86763
369.2,20282.5035
369.6,20561.37957
370,20895.38214
370.4,21331.7384
370.8,21764.35511
371.2,22123.94356
371.6,22450.82368
372,22808.97852
372.4,23224.35001
372.8,23597.41768
373.2,23889.30413
373.6,24174.98576
374,24576.98069
374.4,24680.41891
374.8,24959.01628
375.2,25292.6799
375.6,25547.34451
376,25836.98334
376.4,26165.56604
376.8,26399.6138
377.2,26760.06584
377.6,27070.52603
378,27379.39758
378.4,27708.63312
378.8,28014.12904
379.2,28414.56798
379.6,28871.13407
380,29233.39183
380.4,29695.02329
380.8,30153.27106
381.2,30773.42682
381.6,31302.11395
382,31817.0278
382.4,32407.38191
382.8,33030.83134
383.2,33736.13961
383.6,34395.73032
384,35178.02511
384.4,35879.62716
384.8,36706.728
385.2,37569.86389
385.6,38329.49525
386,39198.00017
386.4,40054.44927
386.8,40911.38286
387.2,41814.71881
387.6,42783.52198
388,43696.04458
388.4,44588.56596
388.8,45516.57842
389.2,46343.4131
389.6,47220.30291
390,48029.82277
390.4,48896.50944
390.8,49672.23401
391.2,50466.57208
391.6,51106.69796
392,51871.47157
392.4,52527.16681
392.8,53118.91527
393.2,53772.15894
393.6,54256.23503
394,54805.37043
394.4,55313.34478
394.8,55662.25639
395.2,56044.23891
395.6,56430.4655
396,56685.56919
396.4,56996.6273
396.8,57182.14989
397.2,57424.97186
397.6,57672.74681
398,57915.07031
398.4,58153.44874
398.8,58343.8867
399.2,58572.7023
399.6,58860.64195
400,59185.11542
400.4,59439.38954
400.8,59818.73251
401.2,60266.83546
401.6,60698.92482
402,61261.28282
402.4,61886.10384
402.8,62524.05266
403.2,63243.79132
403.6,64085.28502
404,65025.57356
404.4,66021.48077
404.8,67050.85501
405.2,68232.11654
405.6,69503.96115
406,70752.57988
406.4,72091.12603
406.8,73599.62453
407.2,75119.30612
407.6,76619.783
408,78274.94974
408.4,79820.56879
408.8,81483.52367
409.2,83236.39147
409.6,84883.71808
410,86536.18441
410.4,88251.13641
410.8,89929.39946
411.2,91539.98869
411.6,93202.38647
412,94838.40643
412.4,96365.9895
412.8,97896.87672
413.2,99313.767
413.6,100707.8631
414,102044.436
414.4,103330.0294
414.8,104408.18
415.2,105592.3406
415.6,106623.6821
416,107501.027
416.4,108290.1264
416.8,109006.5507
417.2,109580.8494
417.6,109958.9793
418,110324.9023
418.4,110522.8897
418.8,110659.338
419.2,110637.1744
419.6,110568.9817
420,110382.5993
420.4,110092.3751
420.8,109673.1779
421.2,109256.9731
421.6,108693.4637
422,108131.9199
422.4,107519.7983
422.8,106894.7492
423.2,106198.4883
423.6,105472.2827
424,104893.4482
424.4,104170.2273
424.8,103554.3472
425.2,103032.8864
425.6,102521.9997
426,102056.5728
426.4,101708.8981
426.8,101439.8145
427.2,101245.7105
427.6,101320.4065
428,101442.8122
428.4,101709.5535
428.8,102125.5437
429.2,102739.2719
429.6,103604.8301
430,104555.7685
430.4,105625.0467
