nm,Viola80
430.8,106985.4474
431.2,108530.4213
431.6,110270.9243
432,112173.0193
432.4,114131.2687
432.8,116403.4334
433.2,118763.3021
433.6,121212.1978
434,123859.0252
434.4,126565.7857
434.8,129305.0381
435.2,132151.6922
435.6,134901.3426
436,137686.0495
436.4,140454.2823
436.8,143148.8358
437.2,145790.9967
437.6,148269.8115
438,150717.5237
438.4,152898.0821
438.8,154989.666
439.2,156876.3283
439.6,158613.6748
440,160181.0755
440.4,161525.2372
440.8,162703.5173
441.2,163665.2379
441.6,164438.3424
442,164995.9327
442.4,165382.1983
442.8,165584.0217
443.2,165580.0701
443.6,165458.2878
444,165117.7686
444.4,164602.739
444.8,163965.646
445.2,163176.6255
445.6,162160.6974
446,161077.8264
446.4,159764.9673
446.8,158453.0053
447.2,156894.9393
447.6,155262.2293
448,153448.3383
448.4,151478.0502
448.8,149483.9792
449.2,147349.2202
449.6,145058.5975
450,142744.9385
450.4,140305.5883
450.8,137821.3006
451.2,135259.8969
451.6,132699.5133
452,130030.2822
452.4,127426.9003
452.8,124795.2866
453.2,122202.2167
453.6,119640.6471
454,117057.3047
454.4,114597.111
454.8,112236.7562
455.2,109900.065
455.6,107752.2646
456,105655.2512
456.4,103729.7973
456.8,101958.2538
457.2,100377.8465
457.6,98988.78349
458,97772.74768
458.4,96756.45888
458.8,96008.60512
459.2,95426.90584
459.6,95072.65688
460,94986.70241
460.4,95178.45684
460.8,95595.41679
461.2,96336.12408
461.6,97224.95451
462,98454.15535
462.4,99874.04534
462.8,101614.8153
463.2,103583.1787
463.6,105722.2739
464,108137.6372
464.4,110823.5799
464.8,113658.4952
465.2,116615.5046
465.6,119771.2932
466,123044.4306
466.4,126338.9293
466.8,129724.672
467.2,133122.0802
467.6,136495.3557
468,139887.7441
468.4,143129.2401
468.8,146242.133
469.2,149140.2331
469.6,151793.7803
470,154251.0288
470.4,156382.5274
470.8,158230.295
471.2,159744.583
471.6,160823.6517
472,161514.7764
472.4,161801.1782
472.8,161729.5454
473.2,161191.9173
473.6,160204.2796
474,158790.9036
474.4,157040.6215
474.8,154940.8045
475.2,152469.4737
475.6,149581.0271
476,146446.5843
476.4,143064.4425
476.8,139328.0355
477.2,135462.9005
477.6,131402.1494
478,127101.8962
478.4,122800.6837
478.8,118325.9422
479.2,113754.063
479.6,109170.0016
480,104570.6853
480.4,100014.6452
480.8,95383.40909
481.2,90938.71881
481.6,86543.81779
482,82219.01502
482.4,77970.14495
482.8,73901.83865
483.2,69926.18536
483.6,66073.05611
484,62377.77325
484.4,58802.36865
484.8,55429.82449
485.2,52166.23166
485.6,49085.41337
486,46129.32777
486.4,43346.58618
486.8,40667.61574
487.2,38241.61909
487.6,35846.58221
488,33574.92753
488.4,31511.72696
488.8,29601.47927
489.2,27744.23879
489.6,25993.75255
490,24421.17487
490.4,22915.67492
490.8,21504.00019
491.2,20174.48322
491.6,18953.23935
492,17819.97215
492.4,16755.40906
492.8,15766.22235
493.2,14879.71089
493.6,14048.04472
494,13238.98552
494.4,12507.86917
494.8,11796.70768
495.2,11185.5181
495.6,10550.86732
496,10024.25692
496.4,9510.05579
496.8,9005.283062
497.2,8574.158483
497.6,8200.726681
498,7788.652256
498.4,7416.717637
498.8,7117.207234
499.2,6779.311224
499.6,6502.234266
500,6176.585371
500.4,5990.374462
500.8,5685.648512
501.2,5455.110599
501.6,5269.777858
502,5060.803095
502.4,4839.746664
502.8,4680.841411
503.2,4538.550789
503.6,4365.310023
504,4175.232798
504.4,4069.620343
504.8,3929.015193
505.2,3788.881012
505.6,3619.358998
506,3576.54658
506.4,3475.337798
506.8,3369.828576
507.2,3249.14378
507.6,3177.486236
508,3118.867657
508.4,2987.463349
508.8,2861.946974
509.2,2833.685673
509.6,2746.413953
510,2648.055282
510.4,2609.895681
510.8,2540.854367
511.2,2456.355577
511.6,2396.357145
512,2323.659291
512.4,2278.75138
512.8,2218.330874
513.2,2170.594337
513.6,2091.77302
514,2023.3097
514.4,2013.146508
514.8,1985.488475
515.2,1915.233143
515.6,1842.96611
516,1841.377261
516.4,1820.641247
516.8,1783.111449
517.2,1736.128361
517.6,1675.260898
518,1660.562997
518.4,1631.277135
518.8,1584.128991
519.2,1532.556077
519.6,1517.826681
520,1471.727593
520.4,1443.875439
520.8,1385.481214
521.2,1380.987916
521.6,1355.375994
522,1311.443655
522.4,1280.029541
522.8,1249.763929
523.2,1223.274229
523.6,1236.748974
524,1197.479072
524.4,1101.947279
524.8,1109.245002
525.2,1092.856282
525.6,1053.522125
526,1102.7993
526.4,1059.604567
526.8,1034.445435
527.2,1015.027547
527.6,988.8244117
528,964.1038806
528.4,953.8209281
528.8,923.0403141
529.2,910.3255344
529.6,870.8110576
530,850.428294
530.4,858.4229917
530.8,826.4590757
531.2,795.6926512
531.6,813.3981403
532,757.7382547
532.4,766.2889761
532.8,723.2203194
533.2,700.8880662
533.6,717.9339083
534,696.0021489
534.4,667.154108
534.8,683.9035631
535.2,693.9419414
535.6,655.1882096
536,634.6015039
536.4,610.0850088
536.8,612.1755432
537.2,600.3518583
537.6,554.840196
538,564.0654392
538.4,567.4483414
538.8,574.8240242
539.2,560.9093215
539.6,511.5301756
540,523.3472492
540.4,482.1489535
540.8,490.5445345
541.2,482.1647013
541.6,485.6023312
542,470.0275251
542.4,464.1382366
542.8,470.770964
543.2,431.6735079
543.6,444.1564502
544,434.5157447
544.4,433.3344844
544.8,451.1640079
545.2,465.2436727
545.6,487.9516292
546,445.1110197
546.4,456.2452142
546.8,448.0316058
547.2,422.3629146
547.6,444.0148139
548,428.2214867
548.4,448.305338
548.8,406.5153432
549.2,392.9672073
549.6,437.9551206
550,4.17E+02
550.4,363.6502389
550.8,396.5461777
551.2,399.3825823
551.6,343.1431452
552,386.7972794
552.4,427.3052118
552.8,393.5074832
553.2,368.8350685
553.6,371.9040898
554,337.3417322
554.4,352.6035303
554.8,336.9350167
555.2,327.4825055
555.6,347.1848214
556,327.6168452
556.4,366.1487514
556.8,328.9688997
557.2,350.6050513
557.6,355.2881953
558,359.790925
558.4,311.7824963
558.8,280.536839
559.2,317.5917833
559.6,350.4641004
560,347.0359966
560.4,284.2737709
560.8,299.410272
561.2,303.4254117
561.6,316.7140047
562,291.5225044
562.4,280.5217766
562.8,253.1216335
563.2,307.3737699
563.6,291.2811408
564,288.3365435
564.4,281.9468319
564.8,271.5949623
565.2,247.241871
565.6,244.822581
566,211.2769109
566.4,218.6857416
566.8,239.8579247
567.2,249.1843598
567.6,191.8266535
568,229.8900219
568.4,224.9489873
568.8,217.9631034
569.2,196.8539114
569.6,244.1400915
570,213.9383438
570.4,194.6436163
570.8,195.1912827
571.2,185.0048588
571.6,179.1081798
572,156.163523
572.4,199.6302421
572.8,183.523907
573.2,177.6503662
573.6,188.9827646
574,160.6579892
574.4,203.7734997
574.8,182.8729131
575.2,180.4929925
575.6,177.9957427
576,199.1297252
576.4,185.7545193
576.8,172.2325303
577.2,150.6030839
577.6,163.2353344
578,192.7479814
578.4,171.0492283
578.8,139.7350435
579.2,112.0388091
579.6,178.2615072
580,113.721755
580.4,72.95671126
580.8,129.1563893
581.2,116.1340442
581.6,106.110151
582,96.40888576
582.4,135.1393854
582.8,107.6223026
583.2,101.9768091
583.6,115.781573
584,100.1756609
584.4,63.52947396
584.8,83.3549512
585.2,57.16290064
585.6,75.38465438
586,44.11732342
586.4,30.04553243
586.8,73.05780927
587.2,73.67604497
587.6,63.94280065
588,44.48466937
588.4,72.33011822
588.8,56.34733409
589.2,0.453663068
589.6,60.69297547
590,13.56971576
590.4,53.15272003
590.8,39.15888882
591.2,43.40333833
591.6,34.29581402
592,-4.385790047
592.4,56.9191056
592.8,15.50977306
593.2,48.89291232
593.6,53.82481036
594,57.33291574
594.4,46.9271915
594.8,29.47998259
595.2,20.53829354
595.6,0.147266458
596,42.33114383
596.4,9.051627855
596.8,33.51417448
597.2,10.73457375
597.6,25.38639974
598,30.86022594
598.4,20.71939315
598.8,31.76075311
599.2,-14.23558442
599.6,0.860768095
600,0
600.4,-32.2462075
600.8,-4.479497611
601.2,23.25649588
601.6,13.78201521
602,-18.85642257
602.4,28.93309541
602.8,22.0038871
603.2,8.128258185
603.6,-4.793768117
604,15.95128854
604.4,19.78941222
604.8,21.58851859
605.2,-12.57577676
605.6,20.20322236
606,25.92745485
606.4,7.790755586
606.8,18.06466542
607.2,25.62893214
607.6,6.874870218
608,1.112047433
608.4,-1.065099798
608.8,10.22666646
609.2,-8.918456958
609.6,-11.80006315
610,16.03673262
610.4,9.717886116
610.8,-30.70343335
611.2,23.37382513
611.6,7.524601498
612,5.514458315
612.4,8.872476218
612.8,-6.741699321
613.2,40.79702276
613.6,0.030326801
614,21.47196852
614.4,12.26325234
614.8,5.231293798
615.2,-7.96320211
615.6,-5.402088091
616,17.39209164
616.4,12.2698636
616.8,-6.866512874
617.2,27.39936394
617.6,76.12099852
618,82.51936317
618.4,72.66052611
618.8,45.55103181
619.2,61.21206113
619.6,62.61301129
620,68.19629285
620.4,31.5186103
620.8,7.338355154
621.2,80.12243218
621.6,57.17942762
622,-1.423403071
622.4,4.354777911
622.8,16.76724468
623.2,62.26141313
623.6,61.57279582
624,54.53374257
624.4,66.53035737
624.8,63.59402351
625.2,110.3971806
625.6,65.98347019
626,75.05949892
626.4,73.18748566
626.8,35.66390977
627.2,51.089891
627.6,41.80360464
628,19.94776318
628.4,45.06004108
628.8,46.57919354
629.2,2.250927164
629.6,-18.09285654
630,21.88276761
630.4,48.61538983
630.8,32.32873437
631.2,62.28794969
631.6,16.28412786
632,70.04915766
632.4,25.19393173
632.8,75.1942282
633.2,56.06281075
633.6,71.395474
634,28.62572957
634.4,26.25203067
634.8,68.20912344
635.2,75.63078698
635.6,53.68201715
636,59.65626635
636.4,67.69120656
636.8,50.35432605
637.2,33.76992706
637.6,29.23482873
638,68.22487123
638.4,55.6950752
638.8,41.17710545
639.2,50.60599498
639.6,26.87814027
640,60.97273934
640.4,57.62016391
640.8,89.13994299
641.2,29.72154576
641.6,45.02349262
642,13.11313549
642.4,48.27253861
642.8,49.19707707
643.2,47.51374157
643.6,86.55481769
644,40.82589689
644.4,67.23802694
644.8,50.50315089
645.2,35.28907952
645.6,45.9307249
646,58.65454731
646.4,55.08306117
646.8,69.96089257
647.2,69.59432581
647.6,45.45849302
648,71.50492936
648.4,31.96634745
648.8,58.32579165
649.2,88.86465237
649.6,61.38693907
650,85.45812846
650.4,103.9634363
650.8,75.38864418
651.2,58.43485741
651.6,53.50169673
652,109.5297074
652.4,105.583391
652.8,71.94314038
653.2,79.98634408
653.6,102.4737376
654,32.35235606
654.4,95.43468436
654.8,72.32710716
655.2,76.76062403
655.6,68.32810492
656,68.37486485
656.4,45.04633512
656.8,51.91576286
657.2,73.57301083
657.6,82.78298965
658,97.38835144
658.4,63.50401
658.8,123.579529
659.2,113.5105281
659.6,66.30017212
660,78.13960474
660.4,89.54792106
660.8,84.3635749
661.2,73.67498188
661.6,48.81272068
662,65.10812309
662.4,74.0038314
662.8,78.91541222
663.2,90.69807534
663.6,105.7342577
664,71.83533725
664.4,73.94414469
664.8,113.9143287
665.2,79.73632738
665.6,84.06748361
666,102.7191849
666.4,80.58426255
666.8,95.24853187
667.2,46.72266976
667.6,64.78763092
668,44.92978505
668.4,47.38853842
668.8,87.35502604
669.2,45.20468608
669.6,101.027492
670,43.88704431
670.4,43.13534197
670.8,73.73680427
671.2,87.80898485
671.6,105.3345431
672,100.0788484
672.4,71.32704036
672.8,93.46108964
673.2,8.163743568
673.6,27.52194562
674,44.92900586
674.4,30.32607549
674.8,47.79486426
675.2,67.06013794
675.6,38.38376435
676,57.58361544
676.4,82.45336094
676.8,52.25948712
677.2,10.70249853
677.6,57.37218903
678,57.02846477
678.4,42.8794932
678.8,40.85739247
679.2,28.5091795
679.6,56.12706456
680,63.8787464
680.4,61.0818051
680.8,39.65873218
681.2,90.3788458
681.6,31.57032692
682,27.26288624
682.4,74.78537709
682.8,13.76568778
683.2,22.04072898
683.6,-37.71186639
684,42.04739968
684.4,61.05225748
684.8,30.71743272
685.2,61.4839511
685.6,25.6744271
686,60.73098612
686.4,45.95599882
686.8,106.4536853
687.2,75.38164333
687.6,67.57640258
688,62.97987146
688.4,45.10893669
688.8,25.03179052
689.2,33.6608613
689.6,85.64962723
690,90.12591424
690.4,-10.58779308
690.8,87.80072136
691.2,119.4851669
691.6,81.36376642
692,64.95181395
692.4,70.04167336
692.8,126.0689049
693.2,70.79220691
693.6,19.03430923
694,110.0948677
694.4,61.52915265
694.8,44.45842622
695.2,119.1249157
695.6,134.7929459
696,93.75134886
696.4,74.81152405
696.8,46.39469328
697.2,107.6999785
697.6,55.75106552
698,120.6113099
698.4,94.88001713
698.8,36.56608918
699.2,64.52351865
699.6,89.68770322
700,53.69202673
700.4,108.4525539
700.8,94.88905981
701.2,113.610847
701.6,78.26733317
702,88.40525109
702.4,151.4084508
702.8,106.9632448
703.2,93.82308697
703.6,117.9249928
704,109.2888273
704.4,106.7381124
704.8,92.30519715
705.2,128.6237972
705.6,124.9793103
706,86.06353123
706.4,121.426393
706.8,53.84794627
707.2,114.387044
707.6,91.8499757
708,126.0390615
708.4,117.4954348
708.8,80.91894414
709.2,90.9895972
709.6,136.2732123
710,159.748525
710.4,82.83859037
710.8,110.1354998
711.2,146.7593277
711.6,155.1910676
712,119.906851
712.4,126.8065116
712.8,128.2245661
713.2,163.461056
713.6,119.0473455
714,130.7222055
714.4,122.5230822
714.8,159.5163918
715.2,115.3563944
715.6,117.4954348
716,152.530414
716.4,140.9165033
716.8,137.2275941
717.2,149.7873273
717.6,97.18985181
718,121.4724676
718.4,177.8529495
718.8,174.3435815
719.2,174.2353888
719.6,158.3629331
720,184.3347164
720.4,213.3158344
720.8,173.2299757
721.2,263.8771136
721.6,141.752481
722,151.7140683
722.4,202.9408265
722.8,181.6247776
723.2,213.9895769
723.6,153.8136453
724,227.6306412
724.4,166.1614687
724.8,193.2606577
725.2,220.7164015
725.6,201.7819253
726,228.6252655
726.4,215.5406146
726.8,204.1141191
727.2,231.7780787
727.6,222.6651119
728,245.8597854
728.4,250.3621255
728.8,230.4251511
729.2,307.031604
729.6,262.3210231
730,264.7084279
730.4,238.6147482
730.8,300.6016499
731.2,269.1593472
731.6,349.7208634
732,299.7790825
732.4,289.096805
732.8,285.7943878
733.2,269.6071782
733.6,268.6838085
734,309.4646
734.4,251.4707746
734.8,240.8528448
735.2,326.2935732
735.6,269.1224091
736,297.4286157
736.4,288.1494241
736.8,294.696224
737.2,296.937625
737.6,280.3052034
738,319.8474818
738.4,331.9618154
738.8,324.9299507
739.2,309.6602786
739.6,293.0987221
740,332.2919276
740.4,328.7348327
740.8,293.3014955
741.2,310.851065
741.6,319.6277919
742,312.6500775
742.4,318.5311026
742.8,333.2692457
743.2,264.1154685
743.6,298.1558233
744,290.5860203
744.4,310.3418951
744.8,349.5334483
745.2,334.6374377
745.6,339.3442033
746,331.7715793
746.4,316.9164965
746.8,331.5588902
747.2,330.0421692
747.6,338.1069527
748,360.2775482
748.4,378.2210964
748.8,350.2490879
749.2,381.2594013
749.6,294.8902504
750,356.4530366
