nm,Lute80
350,7763
350.4,7882
350.8,7839
351.2,7865
351.6,7868
352,7915
352.4,7887
352.8,7779
353.2,7863
353.6,8020
354,7992
354.4,8050
354.8,8117
355.2,8276
355.6,8314
356,8286
356.4,8383
356.8,8612
357.2,8599
357.6,8772
358,8713
358.4,8821
358.8,8909
359.2,9044
359.6,9233
360,9330
360.4,9498
360.8,9754
361.2,9761
361.6,9907
362,10084
362.4,10267
362.8,10435
363.2,10552
363.6,10817
364,11010
364.4,11218
364.8,11413
365.2,11627
365.6,11885
366,12070
366.4,12354
366.8,12685
367.2,12863
367.6,13040
368,13354
368.4,13602
368.8,13911
369.2,14218
369.6,14483
370,14829
370.4,15156
370.8,15503
371.2,15774
371.6,16115
372,16423
372.4,16713
372.8,17092
373.2,17406
373.6,17685
374,18047
374.4,18344
374.8,18623
375.2,18900
375.6,19223
376,19513
376.4,19870
376.8,20147
377.2,20464
377.6,20753
378,21079
378.4,21359
378.8,21587
379.2,21929
379.6,22300
380,22563
380.4,22946
380.8,23266
381.2,23659
381.6,24028
382,24398
382.4,24779
382.8,25210
383.2,25633
383.6,26051
384,26561
384.4,27027
384.8,27507
385.2,28063
385.6,28611
386,29151
386.4,29754
386.8,30287
387.2,30896
387.6,31491
388,32143
388.4,32794
388.8,33476
389.2,34115
389.6,34787
390,35466
390.4,36152
390.8,36880
391.2,37569
391.6,38227
392,38929
392.4,39631
392.8,40328
393.2,40985
393.6,41698
394,42341
394.4,42998
394.8,43628
395.2,44253
395.6,44855
396,45428
396.4,46006
396.8,46490
397.2,47025
397.6,47545
398,48014
398.4,48528
398.8,49013
399.2,49459
399.6,49918
400,50382
400.4,50828
400.8,51224
401.2,51678
401.6,52110
402,52588
402.4,53020
402.8,53468
403.2,53961
403.6,54433
404,54986
404.4,55527
404.8,56056
405.2,56660
405.6,57313
406,57951
406.4,58621
406.8,59406
407.2,60146
407.6,60959
408,61820
408.4,62685
408.8,63609
409.2,64571
409.6,65569
410,66609
410.4,67673
410.8,68783
411.2,69880
411.6,71117
412,72270
412.4,73497
412.8,74723
413.2,75909
413.6,77187
414,78414
414.4,79665
414.8,80864
415.2,82095
415.6,83382
416,84627
416.4,85762
416.8,86917
417.2,88017
417.6,89105
418,90149
418.4,91115
418.8,92074
419.2,92926
419.6,93775
420,94553
420.4,95291
420.8,95928
421.2,96586
421.6,97099
422,97574
422.4,98013
422.8,98428
423.2,98745
423.6,98965
424,99227
424.4,99393
424.8,99509
