nm,Chl_a90
350,25168.0247061257000000
350.4,25380.5441041666000000
350.8,25649.9138902150000000
351.2,25860.2105133979000000
351.6,26007.5714847022000000
352,26252.2759901137000000
352.4,26404.1745219328000000
352.8,26572.8729772586000000
353.2,26835.0418601787000000
353.6,27022.7766863795000000
354,27361.6992038515000000
354.4,27724.0196331032000000
354.8,27889.3558325599000000
355.2,28153.5652354989000000
355.6,28357.6331148183000000
356,28752.0583154525000000
356.4,28869.5189434910000000
356.8,29286.2560146098000000
357.2,29486.2167579033000000
357.6,29761.1820874959000000
358,29957.9902174773000000
358.4,30293.6762997870000000
358.8,30436.0604038147000000
359.2,30778.7938985152000000
359.6,31022.8582533547000000
360,31302.4444166939000000
360.4,31536.1389057320000000
360.8,31881.1217577316000000
361.2,32150.7948096928000000
361.6,32483.4815022208000000
362,32730.3212579573000000
362.4,33068.7902713090000000
362.8,33414.7618075346000000
363.2,33712.2655693685000000
363.6,34038.2116127317000000
364,34375.0265271170000000
364.4,34667.1402683149000000
364.8,34959.2313490199000000
365.2,35345.1955653592000000
365.6,35644.1772580447000000
366,36002.0053844803000000
366.4,36339.0681721990000000
366.8,36670.0587174799000000
367.2,37033.0554091362000000
367.6,37464.3131657551000000
368,37788.6071279474000000
368.4,38166.4343627314000000
368.8,38519.3547514976000000
369.2,38970.9219924128000000
369.6,39287.6475343854000000
370,39585.7369072651000000
370.4,39979.4995826981000000
370.8,40374.5817470462000000
371.2,40759.4543332203000000
371.6,41118.2505005943000000
372,41503.9260487121000000
372.4,41826.1498252456000000
372.8,42092.1641185997000000
373.2,42424.0029561581000000
373.6,42730.2309690198000000
374,42986.6793292073000000
374.4,43254.0588301042000000
374.8,43505.9582581273000000
375.2,43664.8287330009000000
375.6,43900.4672720929000000
376,44046.1552849838000000
376.4,44251.7799698747000000
376.8,44365.7061334882000000
377.2,44450.1386513791000000
377.6,44589.6550655675000000
378,44653.7156017924000000
378.4,44743.8920429461000000
378.8,44786.3171182949000000
379.2,44880.5816646915000000
379.6,44885.0727432260000000
380,44964.6056048333000000
380.4,44961.7332668295000000
380.8,44997.3600829972000000
381.2,44964.2702153969000000
381.6,45004.1793713880000000
382,44988.8073115098000000
382.4,44960.4600897220000000
382.8,44987.2921281248000000
383.2,45003.3076161337000000
383.6,44977.8025681940000000
384,44989.4492468261000000
384.4,44926.8888087151000000
384.8,44910.3430814405000000
385.2,44895.2530262272000000
385.6,44828.8469719209000000
386,44792.7374060408000000
386.4,44735.5458990608000000
386.8,44691.7392410442000000
387.2,44622.6882044724000000
387.6,44557.1270069948000000
388,44483.4948470035000000
388.4,44414.9487214331000000
388.8,44363.3330305126000000
389.2,44356.6870885843000000
389.6,44269.8812020596000000
390,44250.2083042889000000
390.4,44209.0669683145000000
390.8,44201.6209584421000000
391.2,44196.3811343099000000
391.6,44224.3474272274000000
392,44286.8575462185000000
392.4,44320.4542555507000000
392.8,44397.8833795976000000
393.2,44456.4886290965000000
393.6,44594.1769836514000000
394,44797.9427139941000000
394.4,44953.6779860733000000
394.8,45200.4302436332000000
395.2,45448.1904669002000000
395.6,45765.3250623285000000
396,46058.8363154077000000
396.4,46460.1688918017000000
396.8,46905.3548413824000000
397.2,47349.4413822416000000
397.6,47820.6096392001000000
398,48396.5111944623000000
398.4,48970.7439540143000000
398.8,49586.0923107990000000
399.2,50264.9169654243000000
399.6,50928.9329138912000000
400,51647.1690724248000000
400.4,52354.9981073496000000
400.8,53124.5688047268000000
401.2,53889.2165961563000000
401.6,54668.5643504403000000
402,55472.6787077145000000
402.4,56234.9762170932000000
402.8,57012.9401729694000000
403.2,57781.2103695349000000
403.6,58547.2295847538000000
404,59292.2892037971000000
404.4,60001.1367849706000000
404.8,60720.3700262450000000
405.2,61366.5859763303000000
405.6,62046.3692382965000000
406,62644.5543746134000000
406.4,63215.0862783811000000
406.8,63749.5818453803000000
407.2,64265.4832104814000000
407.6,64727.8310205256000000
408,65166.0113502948000000
408.4,65527.9524277748000000
408.8,65883.6870853300000000
409.2,66212.7961414266000000
409.6,66463.3154384001000000
410,66691.2656508972000000
410.4,66821.5035732424000000
410.8,66967.0684366908000000
411.2,67048.8982643299000000
411.6,67113.2191952104000000
412,67072.8050271358000000
412.4,67058.6987433425000000
412.8,66966.0092349010000000
413.2,66875.3975890133000000
413.6,66748.7425603606000000
414,66583.6031552683000000
414.4,66413.0235956758000000
414.8,66258.3417501314000000
415.2,66068.6225352141000000
415.6,65855.1123488732000000
416,65679.9807909980000000
416.4,65523.2874991627000000
416.8,65381.1259738669000000
417.2,65269.6483140349000000
417.6,65181.6342426487000000
418,65108.8073776132000000
418.4,65130.5914375560000000
418.8,65232.5266762498000000
419.2,65337.1656343588000000
419.6,65543.4360728097000000
420,65842.6254602063000000
420.4,66172.8280625704000000
420.8,66582.6521554675000000
421.2,67093.1208162418000000
421.6,67684.6216924540000000
422,68334.8856391365000000
422.4,69110.4459139307000000
422.8,69919.0370060120000000
423.2,70831.5303737215000000
423.6,71778.0221864670000000
424,72791.7799553568000000
424.4,73866.7137882142000000
424.8,74960.6280154127000000
425.2,76097.3524815411000000
425.6,77248.5906600611000000
426,78423.0589884827000000
426.4,79608.3178278271000000
426.8,80783.2652175678000000
427.2,81920.1309624610000000
427.6,83015.5683183048000000
428,84078.6643134003000000
428.4,85031.7570506984000000
428.8,85936.3750152542000000
429.2,86768.6936874291000000
429.6,87456.4688173486000000
430,88019.2747828610000000
430.4,88463.0302944494000000
430.8,88767.2467328107000000
431.2,88894.9790463871000000
431.6,88845.0955063506000000
432,88614.8310260141000000
432.4,88208.1042410592000000
432.8,87544.5834416625000000
433.2,86732.7167311057000000
433.6,85669.1921783178000000
434,84426.0181671647000000
434.4,82982.9926561836000000
434.8,81354.3016790100000000
435.2,79508.3456746403000000
435.6,77474.4612016466000000
436,75305.3746610658000000
436.4,72949.1748795120000000
436.8,70472.7473430648000000
437.2,67868.5644635135000000
437.6,65163.5327593887000000
438,62418.9135912885000000
438.4,59619.5184334877000000
438.8,56738.8990626852000000
439.2,53891.1981330659000000
439.6,51086.3085175534000000
440,48260.8257718171000000
440.4,45499.5235181950000000
440.8,42812.0019045950000000
441.2,40154.9138113303000000
441.6,37576.3757156766000000
442,35124.3945416292000000
442.4,32749.6625080463000000
442.8,30460.9791212253000000
443.2,28319.4819851329000000
443.6,26275.5934788009000000
444,24293.1627939977000000
444.4,22488.2534451966000000
444.8,20727.6050063681000000
445.2,19118.7658810348000000
445.6,17613.6034866980000000
446,16207.9814503453000000
446.4,14869.5306019877000000
446.8,13674.0400466040000000
447.2,12511.1017504332000000
447.6,11493.4393512154000000
448,10510.7495829395000000
448.4,9613.1454730604800000
448.8,8795.2693014679500000
449.2,8065.6378786222300000
449.6,7344.2863169070300000
450,6747.2056382406800000
450.4,6147.3194346660500000
450.8,5618.5622092087800000
451.2,5119.7553476559100000
451.6,4698.1536031126700000
452,4272.7453520740100000
452.4,3923.0337184504900000
452.8,3601.4571246481800000
453.2,3294.3748082767200000
453.6,3004.2745216378000000
454,2773.5221626551900000
454.4,2540.7613197862200000
454.8,2311.6685287896100000
455.2,2148.2240197541200000
455.6,1984.6723543844100000
456,1853.7668656406500000
456.4,1693.9637661790300000
456.8,1580.4227782194100000
457.2,1434.7977087876500000
457.6,1342.0881651731900000
458,1244.9461137070000000
458.4,1190.1396558308500000
458.8,1088.2992682352500000
459.2,1014.3204188810300000
459.6,965.5345016516270000
460,897.5516411723080000
