nm,Beta80
483.2,95923.52969
483.6,95632.47402
484,95323.59028
484.4,94922.74666
484.8,94547.16814
485.2,94046.28597
485.6,93577.49347
486,93013.94855
486.4,92365.32996
486.8,91710.10063
487.2,91022.61994
487.6,90224.48951
488,89407.59566
488.4,88528.8292
488.8,87652.22941
489.2,86674.52015
489.6,85644.85817
490,84619.44402
490.4,83508.06242
490.8,82378.00452
491.2,81189.9459
491.6,79929.36208
492,78719.41391
492.4,77391.12385
492.8,76035.59272
493.2,74684.05306
493.6,73355.92368
494,71939.11458
494.4,70477.20895
494.8,69046.93642
495.2,67597.02715
495.6,66099.14998
496,64587.06402
496.4,63113.9865
496.8,61613.58946
497.2,60087.86416
497.6,58603.80591
498,57078.43082
498.4,55539.6297
498.8,54111.72806
499.2,52601.63254
499.6,51103.15811
500,49619.00329
500.4,48195.62921
500.8,46701.93205
501.2,45254.05405
501.6,43914.7356
502,42476.32752
502.4,41067.65779
502.8,39771.21241
503.2,38430.13754
503.6,37095.07135
504,35844.9397
504.4,34587.03812
504.8,33362.35397
505.2,32160.07172
505.6,30946.88101
506,29885.00363
506.4,28776.79657
506.8,27730.9202
507.2,26605.63051
507.6,25612.34669
508,24650.67592
508.4,23639.66695
508.8,22683.05138
509.2,21800.07399
509.6,20917.30727
510,20045.0033
510.4,19254.14542
510.8,18483.16636
511.2,17694.91042
511.6,16959.70587
512,16243.68091
512.4,15548.9738
512.8,14877.12785
513.2,14267.60716
513.6,13624.22543
514,13047.07108
514.4,12515.60804
514.8,12007.76685
515.2,11451.12888
515.6,10920.65085
516,10474.13073
516.4,10080.40448
516.8,9609.281972
517.2,9198.136969
517.6,8772.42308
518,8418.458345
518.4,8072.412816
518.8,7714.437457
519.2,7379.975708
519.6,7094.629979
520,6781.314979
520.4,6450.10506
520.8,6189.717846
521.2,5939.364349
521.6,5713.248365
522,5445.723717
522.4,5248.832263
522.8,5075.234685
523.2,4857.132648
523.6,4705.837044
524,4494.853479
524.4,4266.459962
524.8,4136.038386
525.2,3955.137301
525.6,3800.561177
526,3707.282503
526.4,3513.107161
526.8,3393.012298
527.2,3267.127465
527.6,3123.728693
528,3040.715544
528.4,2919.843095
528.8,2814.762493
529.2,2723.63764
529.6,2560.782226
530,2512.020322
530.4,2447.602436
530.8,2342.29284
531.2,2268.221074
531.6,2179.651351
532,2097.017435
532.4,2033.762851
532.8,1965.153663
533.2,1848.833508
533.6,1886.086609
534,1759.691474
534.4,1675.948451
534.8,1673.559296
535.2,1656.301992
535.6,1570.910975
536,1506.595595
536.4,1468.162226
536.8,1445.107722
537.2,1396.949843
537.6,1311.918618
538,1305.319832
538.4,1297.056013
538.8,1262.432265
539.2,1213.186749
539.6,1146.855136
540,1131.711742
540.4,1083.480135
540.8,1029.629919
541.2,1034.711409
541.6,992.8873969
542,969.054134
542.4,927.4907106
542.8,939.0224048
543.2,885.4067401
543.6,854.0953422
544,832.8570469
544.4,807.8500621
544.8,787.8422988
545.2,783.7445109
545.6,765.7940752
546,724.3758261
546.4,716.7655773
546.8,695.7067489
547.2,644.7929185
547.6,656.9431712
548,626.8600238
548.4,658.8806978
548.8,578.2845886
549.2,558.4483383
549.6,567.1572497
550,535.4995196
550.4,495.7831041
550.8,534.0836751
551.2,495.1754537
551.6,447.7030755
552,488.3631
552.4,499.724227
552.8,489.5713699
553.2,443.1337376
553.6,427.4754419
554,419.2933383
554.4,416.1835306
554.8,397.9325948
555.2,412.0106339
555.6,380.1538593
556,382.5660818
556.4,399.7448037
556.8,347.0064134
557.2,381.1722645
557.6,382.7221537
558,370.3544954
558.4,337.2810072
558.8,277.8547067
559.2,330.2996952
559.6,333.2162068
560,317.2059736
560.4,251.3941298
560.8,297.7274168
561.2,266.9757282
561.6,272.5424416
562,254.7081743
562.4,233.767873
562.8,220.1571976
563.2,241.8260913
563.6,286.8184941
564,251.887851
564.4,258.3188529
564.8,234.8683825
565.2,214.0558766
565.6,211.6237815
566,212.7322006
566.4,172.1841908
566.8,177.280184
567.2,211.8312069
567.6,154.0297912
