nm,Neo80
350,24657.75033
350.4,24718.2141
350.8,24979.40599
351.2,25097.1069
351.6,25176.17091
352,25621.15765
352.4,25700.70633
352.8,25702.58757
353.2,25968.85512
353.6,26028.21712
354,26011.26626
354.4,26522.43315
354.8,26779.1524
355.2,27053.2874
355.6,27370.47406
356,27628.44581
356.4,27653.33545
356.8,28092.36184
357.2,28135.99081
357.6,28711.91422
358,28579.69109
358.4,28775.51151
358.8,29227.64512
359.2,29514.46008
359.6,29712.96133
360,30063.47251
360.4,30231.38877
360.8,30601.74194
361.2,30891.50251
361.6,31077.16368
362,31447.37594
362.4,31693.28053
362.8,31950.81473
363.2,32070.83677
363.6,32524.21862
364,32791.57815
364.4,33019.35202
364.8,33375.05993
365.2,33628.78526
365.6,33931.25897
366,34191.0494
366.4,34494.12438
366.8,34897.28991
367.2,35149.26015
367.6,35425.66675
368,35819.03757
368.4,36134.52521
368.8,36533.19316
369.2,36908.55374
369.6,37207.51656
370,37465.06337
370.4,38055.8808
370.8,38468.15442
371.2,38784.31263
371.6,39213.74074
372,39563.74189
372.4,39999.69996
372.8,40307.81667
373.2,40745.77279
373.6,41069.21513
374,41508.45736
374.4,41708.90633
374.8,42097.02599
375.2,42473.65588
375.6,42772.58528
376,43167.10328
376.4,43508.56784
376.8,43832.66577
377.2,44206.76685
377.6,44509.12373
378,44844.70585
378.4,45192.88439
378.8,45534.84834
379.2,45890.71945
379.6,46282.09929
380,46667.14615
380.4,47093.87034
380.8,47423.49073
381.2,47911.44796
381.6,48327.23259
382,48719.3068
382.4,49191.11873
382.8,49675.32637
383.2,50127.41694
383.6,50689.2355
384,51230.91284
384.4,51762.45969
384.8,52286.21456
385.2,52844.51637
385.6,53378.88952
386,53946.64034
386.4,54520.70652
386.8,55080.88111
387.2,55640.59771
387.6,56269.51777
388,56901.12476
388.4,57440.33114
388.8,58113.53228
389.2,58711.12466
389.6,59319.68307
390,59913.3163
390.4,60548.87844
390.8,61125.22579
391.2,61739.27625
391.6,62289.82789
392,62930.76533
392.4,63500.61859
392.8,64106.48061
393.2,64691.26324
393.6,65247.48031
394,65831.88418
394.4,66354.7828
394.8,66815.58447
395.2,67367.75669
395.6,67893.9253
396,68367.33999
396.4,68866.07983
396.8,69277.73944
397.2,69760.79618
397.6,70250.1434
398,70707.05778
398.4,71177.06104
398.8,71614.78543
399.2,72067.55523
399.6,72639.99554
400,73140.51111
400.4,73649.75613
400.8,74222.66571
401.2,74798.4263
401.6,75396.41648
402,76048.31384
402.4,76754.50461
402.8,77408.4901
403.2,78170.7537
403.6,78911.45723
404,79746.71883
404.4,80601.4769
404.8,81423.90211
405.2,82318.47554
405.6,83249.68575
406,84165.15231
406.4,85047.17024
406.8,86039.76271
407.2,86964.62256
407.6,87914.89201
408,88941.28848
408.4,89841.49605
408.8,90757.85812
409.2,91719.46777
409.6,92581.79527
410,93401.7337
410.4,94264.06208
410.8,95097.21431
411.2,95802.09496
411.6,96660.85616
412,97322.78009
412.4,97949.60914
412.8,98566.76262
413.2,99023.79538
413.6,99483.61518
414,99920.52866
414.4,100271.5811
414.8,100528.0801
415.2,100815.3621
415.6,101014.4973
416,101107.0093
416.4,101174.3571
416.8,101228.0743
417.2,101224.197
417.6,101165.7229
418,101109.5945
418.4,100924.875
418.8,100840.0435
419.2,100616.5676
419.6,100425.5641
420,100225.93
420.4,100034.3002
420.8,99782.73688
421.2,99570.24925
421.6,99385.84037
422,99162.94718
422.4,98986.86107
422.8,98860.13245
423.2,98743.01951
