nm,Neo80
423.6,98597.79565
424,98638.45027
424.4,98633.15577
424.8,98731.57421
425.2,98895.73876
425.6,99077.67896
426,99398.9476
426.4,99805.1818
426.8,100277.8849
427.2,100842.5012
427.6,101627.7183
428,102376.8861
428.4,103283.1969
428.8,104303.266
429.2,105422.2491
429.6,106644.8342
430,107923.456
430.4,109263.8545
430.8,110735.5462
431.2,112283.7918
431.6,113866.799
432,115483.0961
432.4,117070.234
432.8,118765.0566
433.2,120399.1907
433.6,121976.5152
434,123573.5457
434.4,125144.8532
434.8,126573.266
435.2,127984.2123
435.6,129233.327
436,130407.9933
436.4,131521.1986
436.8,132439.9401
437.2,133311.2512
437.6,133939.2896
438,134549.0598
438.4,134963.2657
438.8,135167.2437
439.2,135279.8376
439.6,135273.8681
440,135116.9716
440.4,134816.3473
440.8,134386.5632
441.2,133788.6244
441.6,133084.9371
442,132246.8893
442.4,131285.09
442.8,130216.0497
443.2,128974.4989
443.6,127737.517
444,126276.7223
444.4,124834.4313
444.8,123221.2239
445.2,121593.5377
445.6,119872.9957
446,118146.2122
446.4,116264.5135
446.8,114485.858
447.2,112567.6512
447.6,110682.385
448,108795.0568
448.4,106844.0038
448.8,104947.3156
449.2,103116.2976
449.6,101236.2951
450,99419.9642
450.4,97641.95365
450.8,95942.90069
451.2,94268.15233
451.6,92711.65238
452,91205.26119
452.4,89835.86157
452.8,88540.94298
453.2,87421.7118
453.6,86352.8761
454,85412.6101
454.4,84625.65417
454.8,83971.69019
455.2,83456.04788
455.6,83100.54762
456,82896.73038
456.4,82845.08866
456.8,82998.98064
457.2,83299.84609
457.6,83772.79775
458,84437.25885
458.4,85208.53485
458.8,86219.76105
459.2,87313.17882
459.6,88619.89435
460,90039.85095
460.4,91619.61001
460.8,93335.77527
461.2,95130.44641
461.6,97017.19621
462,98999.98248
462.4,100989.287
462.8,103078.1969
463.2,105107.3719
463.6,107079.2178
464,109075.7064
464.4,110991.9159
464.8,112817.8307
465.2,114458.2641
465.6,116018.3245
466,117400.5184
466.4,118569.9939
466.8,119538.5526
467.2,120245.0089
467.6,120674.966
468,120939.3921
468.4,120873.6918
468.8,120577.4995
469.2,120006.7136
469.6,119121.0611
470,117993.7248
470.4,116634.0723
470.8,115001.2532
471.2,113176.5401
471.6,111108.2816
472,108825.9171
472.4,106367.7803
472.8,103746.6003
473.2,101013.7663
473.6,98071.76719
474,95055.63021
474.4,92016.10177
474.8,88906.30194
475.2,85710.39105
475.6,82479.46227
476,79279.1209
476.4,76077.13401
476.8,72868.72213
477.2,69731.82389
477.6,66630.82414
478,63591.26765
478.4,60663.26993
478.8,57739.86397
479.2,54944.80945
479.6,52214.83609
480,49561.24896
480.4,47056.47089
480.8,44581.65443
481.2,42266.2925
481.6,40043.641
482,37904.91902
482.4,35880.98352
482.8,33950.60952
483.2,32138.17208
483.6,30385.3194
484,28757.54396
484.4,27204.8806
484.8,25765.9111
485.2,24363.24526
485.6,23046.01942
486,21837.74984
486.4,20692.05637
486.8,19588.15037
487.2,18608.89744
487.6,17625.49351
488,16714.67766
488.4,15890.878
488.8,15130.92475
489.2,14382.54788
489.6,13674.12353
490,13077.85291
490.4,12488.82954
490.8,11911.90429
491.2,11362.37605
491.6,10842.68719
492,10377.1454
492.4,9934.324595
492.8,9514.912656
493.2,9115.447206
493.6,8768.577294
494,8414.208175
494.4,8077.451401
494.8,7762.340917
495.2,7480.860955
495.6,7174.729001
496,6909.003421
496.4,6681.052283
496.8,6436.661998
497.2,6205.976659
497.6,6009.1956
498,5796.800714
498.4,5588.477837
498.8,5433.85794
499.2,5258.968609
499.6,5099.220834
500,4911.17116
500.4,4788.120794
500.8,4610.982937
501.2,4462.166439
501.6,4376.1763
502,4227.337455
502.4,4085.225252
502.8,3965.236376
503.2,3884.170509
503.6,3758.160041
504,3640.067467
504.4,3553.453906
504.8,3453.783228
505.2,3340.754077
505.6,3234.525136
506,3210.660073
506.4,3131.266892
506.8,3055.874385
507.2,2986.273275
507.6,2872.657637
508,2847.52404
508.4,2750.941441
508.8,2623.893815
509.2,2593.550763
509.6,2525.329872
510,2437.182302
510.4,2398.423103
510.8,2352.158393
511.2,2280.536721
511.6,2243.908009
512,2154.273711
512.4,2114.286851
512.8,2062.570389
513.2,2020.010301
513.6,1975.865208
514,1913.739252
514.4,1889.686103
514.8,1873.571133
515.2,1814.869487
515.6,1748.785437
516,1737.326732
516.4,1716.032363
516.8,1677.064962
517.2,1618.28686
517.6,1541.987759
518,1550.383267
518.4,1518.714934
518.8,1483.989102
519.2,1446.36845
519.6,1421.002951
520,1403.38114
520.4,1356.037992
520.8,1321.495125
521.2,1301.343374
521.6,1299.282988
522,1253.724157
522.4,1234.611272
522.8,1219.569043
523.2,1190.249744
523.6,1172.405446
524,1161.66349
524.4,1115.834287
524.8,1088.112874
525.2,1080.802108
525.6,1048.029798
526,1061.312644
526.4,1017.328523
526.8,1019.200469
527.2,1000.933191
527.6,978.0154773
528,951.7885516
528.4,931.4294787
528.8,927.5838962
529.2,920.5626054
529.6,895.7709369
530,878.751959
530.4,883.2146094
530.8,839.5285517
531.2,841.5517012
531.6,845.5948371
532,832.2501237
532.4,807.1345799
532.8,787.8988903
533.2,763.5937254
533.6,806.9120933
534,759.2954619
534.4,737.5325912
534.8,738.92175
535.2,753.4379545
535.6,715.2534646
536,706.0017023
536.4,679.753309
536.8,695.5441006
537.2,685.1827148
537.6,653.189325
538,651.3534859
538.4,676.9272372
538.8,652.2472002
539.2,636.8965627
539.6,594.9347125
540,644.6191359
540.4,596.5085441
540.8,595.9601726
541.2,601.898429
541.6,578.6161378
542,571.1323974
542.4,551.3362837
542.8,570.4895172
543.2,545.3092168
543.6,525.3017899
544,514.5254857
544.4,479.3423254
544.8,511.5616161
545.2,502.020378
545.6,477.2831205
546,470.6278124
546.4,465.6359743
546.8,473.9833743
547.2,447.3549875
547.6,473.5819132
548,431.2331383
548.4,461.9338877
548.8,422.0784711
549.2,408.1622116
549.6,423.5157379
550,4.08E+02
550.4,366.1316137
550.8,373.2439476
551.2,392.1317593
551.6,338.5674052
552,359.461141
552.4,402.4610295
552.8,382.7018503
553.2,372.9197699
553.6,354.5274026
554,332.9014505
554.4,337.8778217
554.8,320.1395081
555.2,323.5981659
555.6,306.8394884
556,300.2437641
556.4,312.7553979
556.8,275.8724379
557.2,305.5691949
557.6,306.0545682
558,282.715582
558.4,275.7616342
558.8,252.5618506
559.2,260.816449
559.6,271.9547447
560,262.7407962
560.4,224.8736041
560.8,235.7151904
561.2,230.6915905
561.6,230.510332
562,230.4902691
562.4,204.978688
562.8,183.0208504
563.2,191.2668618
563.6,203.376509
564,216.0894642
564.4,199.9221447
564.8,168.7566616
565.2,171.6786469
565.6,176.1026555
566,144.2192414
566.4,135.3844585
566.8,158.5318406
567.2,151.7262079
567.6,118.6360752
568,133.3343661
568.4,126.569436
568.8,133.5271518
569.2,98.62317309
569.6,136.4139097
570,120.8510798
570.4,125.24468
570.8,105.7744512
571.2,131.9034538
571.6,106.1604967
572,77.28958557
572.4,113.151379
572.8,113.1894952
573.2,104.0052989
573.6,103.050596
574,99.77919735
574.4,79.61027245
574.8,85.35491523
575.2,81.5088072
575.6,92.62304896
576,88.90378834
576.4,107.0335713
576.8,73.49816298
577.2,87.65666956
577.6,106.0078087
578,99.15607758
578.4,83.87589492
578.8,59.04811973
579.2,46.53183863
579.6,86.38037536
580,29.77346357
580.4,7.241442041
580.8,41.39314154
581.2,33.54828887
581.6,12.51281549
582,19.18328814
582.4,39.5870547
582.8,27.31161593
583.2,12.65455305
583.6,24.15707292
584,16.91158847
584.4,-1.682100166
584.8,24.03938935
585.2,8.340520167
585.6,8.832196573
586,-13.76681417
586.4,2.380796198
586.8,5.114117623
587.2,-20.8756825
587.6,-24.19518914
588,-20.65319593
588.4,-5.747531587
588.8,6.26848606
589.2,-34.73954054
589.6,-10.26858409
590,-5.240388236
590.4,7.946241382
590.8,15.30511588
591.2,19.93355776
591.6,1.399452963
592,-18.17329496
592.4,6.238380082
592.8,-6.067113347
593.2,27.17422321
593.6,23.87276989
594,31.38056428
594.4,10.9201027
594.8,19.19704794
595.2,23.9638131
595.6,-1.326109329
596,18.38837615
596.4,8.641523125
596.8,22.19579116
597.2,-8.304464843
597.6,17.79189675
598,1.591884876
598.4,22.67287986
598.8,22.33958962
599.2,-20.54809049
599.6,6.646721099
600,0
600.4,-19.47364316
600.8,-15.78991239
601.2,-0.605066453
601.6,23.81778202
602,-8.677578448
602.4,-3.617569471
602.8,18.58510159
603.2,2.044919582
603.6,-10.19441255
604,6.01847989
604.4,-3.381020668
604.8,-7.907245928
605.2,-26.95567641
605.6,1.454440841
606,-4.631856173
606.4,-13.09558642
606.8,-3.727545228
607.2,-5.340897716
607.6,3.197529553
608,-10.74107683
608.4,-27.58138257
608.8,-12.44464461
609.2,-38.81760141
609.6,-43.52885321
610,-23.34928037
610.4,8.081978273
610.8,-57.80963931
611.2,-30.22878222
611.6,-15.45144939
612,-16.67104858
612.4,-16.02216767
612.8,-35.3549525
613.2,-25.06055595
613.6,-47.15500972
614,-41.63456066
614.4,-30.40692886
614.8,-48.28356571
615.2,-53.66428679
615.6,-69.61745567
616,-28.82363103
616.4,-56.35778485
616.8,-58.00207122
617.2,-47.39585205
617.6,-18.30504076
618,-1.540311287
618.4,5.407059016
618.8,-6.730056489
619.2,-26.59745295
619.6,-19.08707219
620,-31.88082773
620.4,-23.18090244
620.8,-68.04904798
621.2,-19.60450973
621.6,-30.29235715
622,-65.60949586
622.4,-56.7601252
622.8,-54.63016308
623.2,-12.42229777
623.6,-29.16038688
624,-44.56890105
624.4,-35.32143223
624.8,-46.66933399
625.2,-14.64019123
625.6,-25.56769931
626,-19.80382154
626.4,-40.58416732
626.8,-73.61243226
627.2,-66.19914669
627.6,-60.932946
628,-69.84335653
628.4,-70.94785852
628.8,-65.54938655
629.2,-89.66611062
629.6,-89.01034981
630,-55.99925895
630.4,-56.15904983
630.8,-53.62875694
631.2,-52.08786886
631.6,-73.68547346
632,-38.45937795
632.4,-68.07967943
632.8,-17.48406521
633.2,-17.37290779
633.6,-7.4705574
634,-63.11417927
634.4,-30.41350633
634.8,-31.60905152
635.2,-6.092874481
635.6,-15.41850593
636,-5.085467679
636.4,-13.71752453
636.8,-10.0947823
637.2,-25.21263902
637.6,-7.339993264
638,-0.198432581
638.4,-10.83646488
638.8,-13.55773365
639.2,-20.11998901
639.6,-0.360809838
640,12.96155667
640.4,43.15257643
640.8,43.06236114
641.2,24.43861785
641.6,9.075625276
642,-7.361460876
642.4,11.04755498
642.8,49.75259426
643.2,32.30980845
643.6,45.13449789
644,12.64772447
644.4,47.37697082
644.8,43.60819751
645.2,19.42588893
645.6,33.16776988
646,41.67754721
646.4,56.51875739
646.8,51.14062269
647.2,64.8816244
647.6,44.11363372
648,61.30269663
648.4,38.58341594
648.8,52.64399942
649.2,85.84840142
649.6,79.5945544
650,100.0269709
650.4,120.8662956
650.8,107.73237
651.2,91.72308286
651.6,102.2107392
652,141.2850037
652.4,112.8559539
652.8,114.1279545
653.2,132.2093271
653.6,136.0454433
654,104.8710708
654.4,136.860995
654.8,124.6302499
655.2,140.6017233
655.6,141.893182
656,126.1559735
656.4,104.0219988
656.8,147.2378477
657.2,138.7527012
657.6,136.0282693
658,174.4678867
658.4,138.6049117
658.8,181.8095871
659.2,166.3022706
659.6,133.3911638
660,135.9506321
660.4,148.7546818
660.8,130.9536726
661.2,131.9796582
661.6,118.9909357
662,128.9130465
662.4,144.9884949
662.8,132.7585777
663.2,133.2327776
663.6,138.0479532
664,122.4169524
664.4,112.4810818
664.8,144.1918245
665.2,110.7517529
665.6,111.6042391
666,123.3264361
666.4,84.33068809
666.8,99.29445217
667.2,66.07804883
667.6,43.51338626
668,45.97869952
668.4,30.52207737
668.8,67.98004919
669.2,27.73206092
669.6,30.99487254
670,7.234664783
670.4,6.229793038
670.8,-13.79310078
671.2,5.68571513
671.6,11.58186418
672,-21.75910263
672.4,-13.31859847
672.8,-5.082002068
673.2,-96.12527013
673.6,-75.43596756
674,-88.90865867
674.4,-83.24099686
674.8,-70.95614313
675.2,-82.26653352
675.6,-94.15851318
676,-118.8041507
676.4,-92.02114569
676.8,-128.697914
677.2,-142.6064657
677.6,-123.8200427
678,-125.2237892
678.4,-164.0559784
678.8,-165.9703338
679.2,-146.1343967
679.6,-146.8196867
680,-130.5930345
680.4,-140.5813066
680.8,-180.6549163
681.2,-134.7890813
681.6,-155.261898
682,-183.7378741
682.4,-151.8839892
682.8,-200.0143415
683.2,-198.7950447
683.6,-235.4546389
684,-196.1141248
684.4,-189.2993282
684.8,-233.1254163
685.2,-186.4079744
685.6,-196.4924112
686,-179.8685913
686.4,-204.3627225
686.8,-190.9673661
687.2,-206.9861195
687.6,-175.9426135
688,-194.9374608
688.4,-196.6015077
688.8,-207.8789546
689.2,-221.9699465
689.6,-165.1046646
690,-184.1740372
690.4,-240.4047235
690.8,-194.8678853
691.2,-179.4653718
691.6,-192.1757919
692,-202.6471534
692.4,-204.3781895
692.8,-165.6903243
693.2,-211.3654345
693.6,-234.6946519
694,-208.6750483
694.4,-223.5391821
694.8,-201.9338184
695.2,-173.3055081
695.6,-153.9950701
696,-191.1128718
696.4,-211.1521117
696.8,-172.5876284
697.2,-193.141194
697.6,-177.2642295
698,-125.393149
698.4,-150.639257
698.8,-166.3527652
699.2,-187.0720711
699.6,-144.6151302
700,-158.185442
700.4,-131.5109567
700.8,-154.1134331
701.2,-123.8507768
701.6,-149.4322359
702,-145.1889603
702.4,-92.71622764
702.8,-141.6383801
703.2,-132.0602074
703.6,-106.6651795
704,-135.5597909
704.4,-116.2355931
704.8,-118.3729606
705.2,-106.3143615
705.6,-131.7437375
706,-153.5761838
706.4,-105.1110571
706.8,-154.6846768
707.2,-111.6569663
707.6,-124.0830321
708,-112.3239005
708.4,-97.81116159
708.8,-153.6282828
709.2,-112.8860318
709.6,-75.20527095
710,-74.59073822
710.4,-135.5292107
710.8,-158.3447074
711.2,-96.4308923
711.6,-75.6076113
712,-114.0352275
712.4,-119.341777
712.8,-89.61750042
713.2,-53.47192945
713.6,-92.09109828
714,-96.47558599
714.4,-74.94926411
714.8,-76.26284663
715.2,-93.06244976
715.6,-125.3813707
716,-87.94885762
716.4,-91.19878867
716.8,-111.6532496
717.2,-78.26329557
717.6,-122.5581878
718,-86.94863315
718.4,-58.95456472
718.8,-70.0413382
719.2,-67.51621807
719.6,-86.98986123
720,-46.99958694
720.4,-43.30380352
720.8,-80.13782765
721.2,-18.86724657
721.6,-84.92206932
722,-108.7020889
722.4,-75.56520156
722.8,-63.79437108
723.2,-25.8713119
723.6,-101.764659
724,-31.91437126
724.4,-90.19908968
724.8,-52.21421405
725.2,-63.42125747
725.6,-64.46042608
726,-49.61093128
726.4,-46.92401069
726.8,-50.7618341
727.2,-45.79716185
727.6,-38.23179321
728,-43.57015586
728.4,-45.11993343
728.8,-36.62532062
729.2,-1.889496802
729.6,-23.43610462
730,-33.63257807
730.4,-32.39693514
730.8,-17.6622351
731.2,-25.04375888
731.6,-0.080246789
732,-22.5947918
732.4,-12.02033443
732.8,5.697693208
733.2,-42.29551748
733.6,-38.16392476
734,-27.54994645
734.4,-38.70800267
734.8,-46.3498268
735.2,-5.935167756
735.6,-14.7353001
736,16.01408285
736.4,-19.63582063
736.8,-18.79473085
737.2,-18.09944911
737.6,-5.836062989
738,16.41677695
738.4,14.63504654
738.8,13.5929378
739.2,31.36160847
739.6,15.43482885
740,-2.519091402
740.4,44.53023609
740.8,8.892333951
741.2,18.60142451
741.6,19.92153317
742,-3.898835218
742.4,0.275744048
742.8,15.62927034
743.2,-4.220426556
743.6,-7.256983563
744,-16.47522563
744.4,20.73397301
744.8,11.35129278
745.2,36.94427907
745.6,28.24746563
746,8.244634707
746.4,-10.4550386
746.8,19.40750992
747.2,50.23312531
747.6,35.48119986
748,54.99383847
748.4,41.44386396
748.8,65.8079565
749.2,67.29074486
749.6,21.02256956
750,76.55538776
