nm,Chl_a70
350,26132.35938
350.4,26251.43656
350.8,26666.16294
351.2,26703.42015
351.6,26834.24485
352,27002.31549
352.4,27106.61238
352.8,27447.45609
353.2,27642.7012
353.6,27699.48602
354,28059.69085
354.4,28266.91906
354.8,28453.23783
355.2,28861.49231
355.6,29111.30271
356,29432.90438
356.4,29589.50825
356.8,29830.01177
357.2,30150.00754
357.6,30356.54385
358,30602.73093
358.4,30774.88216
358.8,31015.40367
359.2,31338.24343
359.6,31643.41473
360,31884.45369
360.4,32154.65675
360.8,32398.81977
361.2,32771.75145
361.6,33066.51995
362,33302.77028
362.4,33611.34738
362.8,33975.40454
363.2,34211.77626
363.6,34668.6321
364,35012.98849
364.4,35289.17242
364.8,35691.45118
365.2,35980.1816
365.6,36315.49455
366,36713.76674
366.4,37068.83595
366.8,37431.75029
367.2,37764.44043
367.6,38213.44226
368,38563.10559
368.4,38964.62783
368.8,39326.81841
369.2,39716.26713
369.6,40144.32437
370,40512.18263
370.4,40924.48517
370.8,41312.03788
371.2,41713.48008
371.6,42062.57422
372,42474.76581
372.4,42774.1637
372.8,43117.04944
373.2,43467.68028
373.6,43746.28009
374,44066.63329
374.4,44353.23399
374.8,44594.56802
375.2,44854.84005
375.6,45098.05759
376,45201.5104
376.4,45417.87752
376.8,45573.51571
377.2,45677.70409
377.6,45760.64041
378,45836.82109
378.4,45899.53471
378.8,46007.66896
379.2,46006.23989
379.6,46016.89411
380,46062.36305
380.4,46094.9356
380.8,46050.25919
381.2,46057.20776
381.6,46044.7349
382,45997.52338
382.4,45982.89681
382.8,45975.98534
383.2,45975.98891
383.6,45950.41247
384,45907.31239
384.4,45816.62729
384.8,45825.30335
385.2,45755.43576
385.6,45739.33235
386,45738.12664
386.4,45666.80104
386.8,45595.30594
387.2,45520.91019
387.6,45492.09084
388,45413.00485
388.4,45396.551
388.8,45350.79905
389.2,45322.68834
389.6,45323.49883
390,45233.59941
390.4,45191.26802
390.8,45210.39606
391.2,45198.10603
391.6,45214.81517
392,45215.84404
392.4,45224.83024
392.8,45254.74762
393.2,45307.15744
393.6,45366.70412
394,45497.58727
394.4,45580.30861
394.8,45734.79619
395.2,45828.08165
395.6,46052.31074
396,46265.95605
396.4,46505.20861
396.8,46787.18746
397.2,47086.84389
397.6,47421.27159
398,47837.50492
398.4,48257.51281
398.8,48734.46269
399.2,49190.06709
399.6,49703.17857
400,50272.21603
400.4,50821.06952
400.8,51452.48031
401.2,52054.82066
401.6,52732.13283
402,53371.02746
402.4,54030.54801
402.8,54724.91745
403.2,55395.38936
403.6,56098.38862
404,56782.10468
404.4,57482.92771
404.8,58167.54563
405.2,58830.00699
405.6,59473.58667
406,60091.09128
406.4,60725.83755
406.8,61315.50285
407.2,61877.49862
407.6,62404.92407
408,62921.23179
408.4,63427.02875
408.8,63843.92156
409.2,64254.8937
409.6,64674.11825
410,64995.95031
410.4,65280.82134
410.8,65500.446
411.2,65739.87521
411.6,65925.22576
412,66031.11303
412.4,66149.20375
412.8,66177.07464
413.2,66188.94189
413.6,66155.57571
414,66106.26448
414.4,66030.92448
414.8,65886.86668
415.2,65748.05677
415.6,65588.26705
416,65416.32588
416.4,65244.45568
416.8,65045.82833
417.2,64893.57659
417.6,64723.68886
418,64564.11453
418.4,64435.18551
418.8,64343.79664
419.2,64283.17616
419.6,64253.04982
420,64326.11357
420.4,64334.19456
420.8,64493.53793
421.2,64672.89911
421.6,64935.63225
422,65234.01201
422.4,65607.83755
422.8,66010.28935
423.2,66524.34423
423.6,67075.33723
424,67746.95559
424.4,68383.28492
424.8,69102.806
425.2,69859.76623
425.6,70630.02855
426,71468.9186
426.4,72293.11977
426.8,73134.54884
427.2,73990.67716
427.6,74842.42234
428,75675.87674
428.4,76479.53742
428.8,77255.75459
429.2,77980.55875
429.6,78649.00088
430,79247.69844
430.4,79751.63683
430.8,80192.61029
431.2,80509.38113
431.6,80710.86472
432,80772.32692
432.4,80762.57844
432.8,80555.25722
433.2,80202.5445
433.6,79672.03809
434,79017.47754
434.4,78237.04824
434.8,77214.92991
435.2,76077.34679
435.6,74772.15629
436,73309.06507
436.4,71710.9908
436.8,69953.91533
437.2,68084.11475
437.6,66067.55954
438,64027.32079
438.4,61840.49057
438.8,59561.00281
439.2,57284.2134
439.6,54938.52801
440,52566.26085
440.4,50188.90728
440.8,47805.20804
441.2,45399.13505
441.6,43041.32089
442,40728.59263
442.4,38422.86403
442.8,36222.23825
443.2,34101.75004
443.6,32009.41666
444,29996.27007
444.4,28069.42028
444.8,26217.56152
445.2,24433.80523
445.6,22772.94316
446,21192.77848
446.4,19655.61356
446.8,18242.06791
447.2,16914.28816
447.6,15644.04186
448,14482.65991
448.4,13363.55047
448.8,12332.75334
449.2,11404.60739
449.6,10505.24053
450,9684.9073
450.4,8929.37838
450.8,8206.72309
451.2,7549.35877
451.6,6990.90507
452,6427.68526
452.4,5910.93475
452.8,5424.55116
453.2,5013.57451
453.6,4625.85938
454,4287.49377
454.4,3968.6355
454.8,3641.90885
455.2,3408.43358
455.6,3153.57009
456,2891.49644
456.4,2698.73117
456.8,2528.47324
457.2,2371.87592
457.6,2201.38207
458,2048.56926
458.4,1933.70711
458.8,1822.40936
459.2,1706.97427
459.6,1587.16489
460,1520.56175
460.4,1437.10474
460.8,1347.27705
461.2,1268.48278
461.6,1192.36695
462,1143.74215
462.4,1087.82541
462.8,1050.11702
463.2,1008.96642
463.6,949.25463
464,918.2226
464.4,896.32768
464.8,840.23276
465.2,833.03362
465.6,788.06159
466,760.5115
466.4,745.21379
466.8,701.91163
467.2,701.65066
467.6,672.26261
468,653.78281
468.4,629.83334
468.8,619.45228
469.2,575.31329
469.6,596.63169
470,565.88876
470.4,545.84512
470.8,531.44644
471.2,519.85075
471.6,511.099
472,503.06895
472.4,493.21285
472.8,485.63277
473.2,488.68581
473.6,478.72164
474,464.07922
474.4,464.31832
474.8,460.00627
475.2,474.28146
475.6,440.69721
476,463.44278
476.4,460.0705
476.8,448.0905
477.2,447.52966
477.6,466.03236
478,446.41703
478.4,464.40224
478.8,473.59926
479.2,452.14232
479.6,476.55495
480,479.19447
480.4,505.00282
480.8,492.97266
481.2,506.11926
481.6,516.46812
482,520.10406
482.4,513.89263
482.8,529.54314
483.2,547.12913
483.6,551.17117
484,560.57775
484.4,568.49659
484.8,612.8631
485.2,611.4322
485.6,613.43649
486,651.99491
486.4,667.29438
486.8,652.17441
487.2,701.01766
487.6,702.96011
488,691.45711
488.4,715.11147
488.8,750.64809
489.2,752.27183
489.6,775.89887
490,784.75751
490.4,802.50374
490.8,813.79595
491.2,835.29908
491.6,834.41195
492,862.63707
492.4,887.20372
492.8,885.77767
493.2,904.48607
493.6,893.98425
494,915.05635
494.4,913.68058
494.8,926.73976
495.2,926.00805
495.6,947.52918
496,946.70179
496.4,957.95146
496.8,952.79883
497.2,969.7159
497.6,976.39838
498,959.77994
498.4,971.54209
498.8,969.77792
499.2,974.73024
499.6,960.36054
500,999.47652
500.4,972.57816
500.8,981.33807
501.2,977.0774
501.6,959.0948
502,987.30227
502.4,1003.06596
502.8,995.56099
503.2,991.54393
503.6,985.22469
504,1003.5873
504.4,1017.63419
504.8,1000.06879
505.2,1009.62189
505.6,1004.17318
506,1006.54799
506.4,1003.99318
506.8,1018.89657
507.2,1028.89707
507.6,1024.58239
508,1022.35323
508.4,1012.3878
508.8,1044.01793
509.2,1022.78001
509.6,1050.4703
510,1045.411
510.4,1055.33526
510.8,1077.03542
511.2,1088.63361
511.6,1079.01124
512,1108.96274
512.4,1129.93358
