nm,Chl_b70
350,29528.75499
350.4,29573.58282
350.8,29350.04492
351.2,29083.79357
351.6,28990.73414
352,28658.61501
352.4,28395.80847
352.8,28340.31016
353.2,28143.71547
353.6,28001.14231
354,28000.66655
354.4,27780.9563
354.8,27737.91898
355.2,27709.23345
355.6,27530.86637
356,27556.22052
356.4,27428.13319
356.8,27326.74303
357.2,27284.27647
357.6,27207.6053
358,27137.58067
358.4,26964.75956
358.8,26893.98034
359.2,26865.2753
359.6,26822.68839
360,26843.07403
360.4,26754.77616
360.8,26579.82208
361.2,26573.74098
361.6,26477.97151
362,26407.18003
362.4,26319.92801
362.8,26259.80409
363.2,26126.43756
363.6,25982.23917
364,25870.53171
364.4,25747.0664
364.8,25642.23195
365.2,25488.34963
365.6,25322.87266
366,25160.94469
366.4,24988.42942
366.8,24833.98911
367.2,24629.08079
367.6,24483.7207
368,24335.87608
368.4,24169.66779
368.8,24032.91305
369.2,23869.64194
369.6,23752.05503
370,23490.10015
370.4,23305.50261
370.8,23190.88713
371.2,23044.82994
371.6,22901.79756
372,22779.10221
372.4,22663.20214
372.8,22570.61483
373.2,22467.22296
373.6,22380.57305
374,22308.91042
374.4,22235.92329
374.8,22095.95642
375.2,22090.26952
375.6,21986.21715
376,21853.16524
376.4,21847.96262
376.8,21730.68881
377.2,21672.49632
377.6,21565.9736
378,21491.21422
378.4,21391.59037
378.8,21294.4143
379.2,21203.73785
379.6,21134.00585
380,20981.88188
380.4,20871.39032
380.8,20743.25259
381.2,20590.28056
381.6,20423.47771
382,20243.92396
382.4,20052.80396
382.8,19825.9326
383.2,19678.06087
383.6,19434.37695
384,19172.00106
384.4,18861.8309
384.8,18594.30879
385.2,18297.60117
385.6,17997.30633
386,17730.41864
386.4,17383.75858
386.8,17079.4264
387.2,16739.18412
387.6,16374.68531
388,16020.78923
388.4,15709.39575
388.8,15392.89934
389.2,15067.38823
389.6,14762.76047
390,14382.12957
390.4,14083.12055
390.8,13806.09203
391.2,13524.98655
391.6,13230.99961
392,12997.97612
392.4,12713.85497
392.8,12487.93393
393.2,12264.5619
393.6,12045.36606
394,11897.66871
394.4,11736.45798
394.8,11592.9707
395.2,11420.37862
395.6,11311.65097
396,11220.81931
396.4,11132.13755
396.8,11045.77756
397.2,11002.8313
397.6,10942.05076
398,10954.40552
398.4,10982.75899
398.8,10986.25291
399.2,10984.73648
399.6,11028.37925
400,11076.53557
400.4,11125.34262
400.8,11218.28436
401.2,11269.91772
401.6,11349.00856
402,11439.54759
402.4,11532.69547
402.8,11616.76313
403.2,11710.86191
403.6,11811.11073
404,11938.38399
404.4,12079.33064
404.8,12196.32763
405.2,12333.70673
405.6,12453.74108
406,12564.30056
406.4,12715.8651
406.8,12866.5191
407.2,12991.47687
407.6,13142.23712
408,13293.37822
408.4,13457.92378
408.8,13596.09332
409.2,13793.76132
409.6,13956.57053
410,14121.58468
410.4,14311.43712
410.8,14481.22809
411.2,14708.31374
411.6,14923.92733
412,15134.32257
412.4,15398.29329
412.8,15638.20205
413.2,15916.8867
413.6,16213.19794
414,16517.16338
414.4,16836.79227
414.8,17166.03197
415.2,17518.71758
415.6,17917.16413
416,18307.05436
416.4,18771.31689
416.8,19227.00639
417.2,19727.73054
417.6,20247.86428
418,20806.46037
418.4,21369.50324
418.8,21973.12736
419.2,22618.08638
419.6,23255.23571
420,23952.34381
420.4,24654.82615
420.8,25394.26471
421.2,26166.98497
421.6,26956.49784
422,27769.95051
422.4,28604.70754
422.8,29453.51824
423.2,30342.00844
423.6,31214.54222
424,32131.30208
424.4,33034.59662
424.8,33950.28158
425.2,34874.2545
425.6,35793.07399
426,36701.53208
426.4,37573.23742
426.8,38500.13366
427.2,39380.38187
427.6,40254.51392
428,41096.0909
428.4,41951.49742
428.8,42746.80726
429.2,43525.0272
429.6,44267.81605
430,45007.1906
430.4,45700.72876
430.8,46358.75446
431.2,46988.08223
431.6,47554.3129
432,48131.90912
432.4,48662.55235
432.8,49119.33244
433.2,49569.24235
433.6,49988.0695
434,50376.93611
434.4,50756.87041
434.8,51077.21977
435.2,51390.58689
435.6,51661.50789
436,51932.39175
436.4,52196.4902
436.8,52455.36141
437.2,52697.68957
437.6,52939.96492
438,53196.08594
438.4,53438.20334
438.8,53712.28903
439.2,54010.89167
439.6,54317.85313
440,54668.63137
440.4,55060.19296
440.8,55524.44913
441.2,55942.89624
441.6,56469.86941
442,57064.52255
442.4,57690.06123
442.8,58403.49347
443.2,59190.10633
443.6,60056.2309
444,60998.81314
444.4,61992.33177
444.8,63078.94371
445.2,64269.21366
445.6,65583.0674
446,66940.95425
