nm,Chl_b90
466.4,99996.37194
466.8,97176.49722
467.2,94318.02023
467.6,91496.9007
468,88645.20372
468.4,85808.53887
468.8,82991.06943
469.2,80207.53593
469.6,77394.97139
470,74636.55983
470.4,71923.51973
470.8,69239.89312
471.2,66611.86182
471.6,64035.26162
472,61498.55523
472.4,59037.11718
472.8,56594.95253
473.2,54238.93456
473.6,51972.6786
474,49734.4399
474.4,47554.78482
474.8,45449.38613
475.2,43410.00112
475.6,41434.23757
476,39540.26119
476.4,37707.63408
476.8,35934.18552
477.2,34227.12553
477.6,32612.55102
478,31040.95446
478.4,29542.96354
478.8,28091.27748
479.2,26728.84419
479.6,25423.64048
480,24185.71956
480.4,22961.51849
480.8,21808.95284
481.2,20746.81647
481.6,19706.42454
482,18737.98437
482.4,17802.80095
482.8,16929.46082
483.2,16092.0525
483.6,15295.94214
484,14525.97802
484.4,13837.55898
484.8,13154.91279
485.2,12483.24292
485.6,11860.39417
486,11295.7337
486.4,10744.2539
486.8,10215.86268
487.2,9737.57603
487.6,9284.08653
488,8838.62169
488.4,8482.42368
488.8,8165.93535
489.2,7813.89778
489.6,7469.50746
490,7162.77865
490.4,6858.49307
490.8,6584.83505
491.2,6313.98886
491.6,6058.41406
492,5848.41147
492.4,5615.42258
492.8,5395.31033
493.2,5246.25898
493.6,5043.89757
494,4881.57175
494.4,4732.44192
494.8,4591.32766
495.2,4448.91656
495.6,4311.50473
496,4183.80941
496.4,4094.07205
496.8,3968.26595
497.2,3885.59277
497.6,3779.00823
498,3694.15713
498.4,3621.12008
498.8,3537.63756
499.2,3465.95261
499.6,3402.99836
500,3343.58671
500.4,3272.34436
500.8,3253.15038
501.2,3187.83652
501.6,3124.67197
502,3106.79384
502.4,3081.66226
502.8,3042.53847
503.2,2982.06004
503.6,2973.43655
504,2938.7863
504.4,2926.6532
504.8,2900.70002
505.2,2888.25664
505.6,2839.48665
506,2862.78535
506.4,2817.82395
506.8,2801.92735
507.2,2800.12821
507.6,2775.62781
508,2761.89578
508.4,2740.16298
508.8,2750.16014
509.2,2728.84129
509.6,2713.11912
510,2711.86003
510.4,2714.63477
510.8,2689.30394
511.2,2697.84435
511.6,2692.70579
512,2685.47109
512.4,2714.37694
512.8,2704.02861
513.2,2685.92671
513.6,2699.02578
514,2713.31458
514.4,2710.19959
514.8,2704.96712
515.2,2722.62496
515.6,2732.63379
516,2747.59434
516.4,2748.69393
516.8,2788.50253
517.2,2767.09281
517.6,2796.21369
518,2831.90804
518.4,2832.25436
518.8,2831.84577
519.2,2859.64492
519.6,2914.66634
520,2925.4819
520.4,2939.05031
520.8,2959.6597
521.2,3017.51684
521.6,3033.89685
522,3068.14322
522.4,3087.9434
522.8,3107.90746
523.2,3131.83072
523.6,3164.40462
524,3213.94977
524.4,3247.6229
524.8,3282.4577
525.2,3318.8274
525.6,3385.33902
526,3408.92438
526.4,3438.88135
526.8,3477.87317
527.2,3544.83846
527.6,3571.2997
528,3643.64685
528.4,3670.60821
528.8,3726.83739
529.2,3760.64613
529.6,3841.64634
530,3894.30681
530.4,3936.99239
530.8,3975.5382
531.2,4066.92252
531.6,4110.39064
532,4177.9737
532.4,4212.43053
532.8,4271.122
533.2,4345.9597
533.6,4391.43534
534,4452.62816
534.4,4495.33175
534.8,4559.80416
535.2,4607.09384
535.6,4667.09021
536,4715.21079
536.4,4773.91776
536.8,4815.98868
537.2,4854.56435
537.6,4927.73839
538,4949.23651
538.4,5001.98978
538.8,5040.75983
539.2,5080.11908
539.6,5132.64921
540,5161.62771
540.4,5180.2714
540.8,5278.61764
541.2,5312.57665
541.6,5360.69689
542,5356.9469
542.4,5427.185
542.8,5450.96706
543.2,5478.80534
543.6,5485.56374
544,5510.94211
544.4,5567.0928
544.8,5580.57427
545.2,5591.13288
545.6,5614.31365
546,5624.26826
546.4,5661.35869
546.8,5675.75613
547.2,5710.89141
547.6,5734.57407
548,5722.91539
548.4,5742.33176
548.8,5766.54953
549.2,5772.35267
549.6,5761.329
550,5764.41188
550.4,5768.23855
550.8,5803.99558
551.2,5813.59549
551.6,5820.86086
552,5817.74052
552.4,5814.0202
552.8,5844.46217
553.2,5849.65808
553.6,5853.54275
554,5852.94145
554.4,5879.35322
554.8,5890.75486
555.2,5887.40054
555.6,5889.54732
556,5924.43181
556.4,5937.72491
556.8,5955.80858
557.2,5974.86978
557.6,5975.62203
558,6037.83512
558.4,6047.87251
558.8,6071.01606
559.2,6112.77719
559.6,6138.53419
560,6169.53801
560.4,6185.40484
560.8,6237.16714
561.2,6275.02313
561.6,6286.86714
562,6334.05793
562.4,6374.67466
562.8,6406.89367
563.2,6465.31987
563.6,6495.70513
564,6524.89271
564.4,6557.94985
564.8,6589.60934
565.2,6621.82559
565.6,6639.71213
566,6683.49036
566.4,6699.8912
566.8,6743.51748
567.2,6747.50665
567.6,6809.36771
568,6819.75672
568.4,6861.65634
568.8,6863.05324
569.2,6881.17182
569.6,6912.3748
570,6962.35056
570.4,6981.36714
570.8,6993.98452
571.2,7004.39853
571.6,7027.73267
572,7059.29514
572.4,7079.05713
572.8,7101.06657
573.2,7120.75918
573.6,7135.89401
574,7161.23746
574.4,7178.5741
574.8,7211.29314
575.2,7222.92729
575.6,7254.80136
576,7262.72795
576.4,7320.85656
576.8,7335.76668
577.2,7384.53709
577.6,7418.69389
578,7468.69668
578.4,7513.84198
578.8,7550.43122
579.2,7612.82731
579.6,7656.44353
580,7728.17136
580.4,7787.31521
580.8,7859.86241
581.2,7948.32365
581.6,8002.38976
582,8113.56546
582.4,8199.15569
582.8,8293.85119
583.2,8373.57867
583.6,8505.20948
584,8613.34912
584.4,8720.87431
584.8,8828.94046
585.2,8942.77008
585.6,9070.57945
586,9188.59203
586.4,9296.80896
586.8,9391.63692
587.2,9527.73454
587.6,9650.93763
588,9752.86725
588.4,9859.47988
588.8,9985.41906
589.2,10097.53966
589.6,10166.40032
590,10270.5986
590.4,10377.025
590.8,10460.03749
591.2,10546.36496
591.6,10650.47867
592,10713.06538
592.4,10801.79473
592.8,10863.91208
593.2,10908.03075
593.6,10962.00213
594,10989.75564
594.4,11022.85541
594.8,11057.22742
595.2,11093.32138
595.6,11108.92847
596,11103.24374
596.4,11126.59686
596.8,11114.80556
597.2,11085.24535
597.6,11077.47961
598,11067.09071
598.4,11046.86611
598.8,10998.24644
599.2,10967.91504
599.6,10889.95492
600,10829.46526
600.4,10761.56238
600.8,10696.58064
601.2,10632.11371
601.6,10549.42067
602,10453.38741
602.4,10386.98831
602.8,10273.88227
603.2,10182.57905
603.6,10078.13077
