nm,Zea80
350,12295.33803
350.4,11560.54813
350.8,11972.22557
351.2,11257.55999
351.6,11682.5066
352,11196.21037
352.4,11349.43662
352.8,12026.12786
353.2,11564.64789
353.6,11250.8307
354,11543.37512
354.4,11085.78358
354.8,11546.44902
355.2,12093.531
355.6,11235.7572
356,11513.59805
356.4,11774.18945
356.8,11829.53224
357.2,11953.80829
357.6,11060.46259
358,11341.47027
358.4,11972.59362
358.8,11585.34162
359.2,12104.37532
359.6,12252.67314
360,11338.4516
360.4,11753.4288
360.8,12003.16213
361.2,11580.21613
361.6,12570.88386
362,12176.11632
362.4,12521.74415
362.8,11975.8363
363.2,12236.68869
363.6,12636.31767
364,13246.61653
364.4,13127.5572
364.8,12768.476
365.2,12972.58836
365.6,13220.94591
366,13218.25368
366.4,13145.89475
366.8,13538.35361
367.2,13576.7723
367.6,13546.62151
368,13953.11136
368.4,14222.34394
368.8,14498.55168
369.2,14896.59365
369.6,14754.24434
370,14538.09727
370.4,15022.6191
370.8,15386.92861
371.2,15314.60433
371.6,15675.28289
372,15996.04863
372.4,16269.95848
372.8,16250.7536
373.2,16784.73047
373.6,16857.18796
374,17140.87783
374.4,17421.16258
374.8,17735.33061
375.2,18176.1707
375.6,18158.41626
376,18820.80009
376.4,18832.26187
376.8,19007.77669
377.2,19351.93438
377.6,19683.44036
378,19865.8151
378.4,20284.13179
378.8,20722.90963
379.2,20877.04334
379.6,21223.20161
380,21437.54478
380.4,21712.52705
380.8,21905.08208
381.2,22285.05205
381.6,22390.76588
382,23078.04778
382.4,23309.70192
382.8,23614.38341
383.2,23880.69163
383.6,24512.11442
384,24928.89887
384.4,25151.28714
384.8,25489.49494
385.2,26082.26899
385.6,26405.9745
386,26578.71576
386.4,26948.81095
386.8,27501.07487
387.2,27937.61388
387.6,28318.55691
388,28756.47691
388.4,29200.69385
388.8,29624.02201
389.2,30030.1039
389.6,30541.04442
390,31184.62748
390.4,31628.61474
390.8,32129.29879
391.2,32602.99933
391.6,33130.15136
392,33759.01957
392.4,34286.97374
392.8,34906.69819
393.2,35590.66364
393.6,36162.23223
394,36562.60034
394.4,37228.01137
394.8,37802.86678
395.2,38322.22476
395.6,38997.97587
396,39559.11311
396.4,40257.63611
396.8,40893.40116
397.2,41433.22672
397.6,42268.96286
398,42863.47607
398.4,43474.91932
398.8,43931.89204
399.2,44678.22004
399.6,45125.10342
400,45875.93943
400.4,46383.43456
400.8,46897.46912
401.2,47321.93147
401.6,48032.35593
402,48561.7326
402.4,49144.79472
402.8,49543.37222
403.2,50325.69333
403.6,50877.04967
404,51313.53985
404.4,51941.56395
404.8,52593.37679
405.2,52992.17451
405.6,53621.75144
406,54113.61222
406.4,54707.5217
406.8,55209.77996
407.2,55884.76878
407.6,56258.4885
408,56930.42998
408.4,57350.50213
408.8,58343.77067
409.2,58910.92464
409.6,59579.82134
410,60227.39993
410.4,60844.07534
410.8,61470.35295
411.2,62164.71847
411.6,62775.04337
412,63816.86714
412.4,64448.51318
412.8,65423.17248
413.2,66242.29815
413.6,67223.53244
414,68068.42042
414.4,69038.87891
414.8,69753.83319
415.2,70782.63807
415.6,71688.27364
416,72679.31707
416.4,73616.03408
416.8,74779.69835
417.2,75625.20808
417.6,76599.1646
418,77642.93965
418.4,78776.4789
418.8,79893.37428
419.2,80726.30341
419.6,81949.50231
420,82827.92133
420.4,84022.59381
420.8,84966.99042
421.2,85966.56701
421.6,86966.54938
422,87880.04585
422.4,88691.27552
422.8,89614.76883
423.2,90433.56974
423.6,91372.52512
424,92201.99515
424.4,93013.85343
424.8,93748.846
425.2,94571.01004
425.6,95254.6657
426,95957.31884
426.4,96463.35026
426.8,97213.52469
427.2,97708.55538
427.6,98338.68202
428,98916.40058
428.4,99258.11464
428.8,99857.07757
429.2,100275.2207
429.6,100667.7061
430,101083.7159
430.4,101530.6789
430.8,101791.0505
431.2,102288.4782
431.6,102720.402
432,102954.3991
432.4,103167.3561
432.8,103596.623
433.2,104070.315
433.6,104099.1794
434,104603.6924
434.4,105088.9537
434.8,105396.9139
435.2,105818.4716
435.6,106343.5785
436,106840.5382
436.4,107206.6002
436.8,107614.6976
437.2,108128.9863
437.6,108763.0712
438,109579.4555
438.4,110089.8707
438.8,110751.09
439.2,111377.0578
439.6,112557.5378
440,113110.8146
440.4,113960.0662
440.8,114754.9246
441.2,115820.8421
441.6,116580.6792
442,117686.7658
442.4,118493.0169
442.8,119686.9323
443.2,120727.9407
443.6,121827.6545
444,122882.5884
444.4,123991.1229
444.8,125192.8404
445.2,126233.7082
445.6,127537.9419
446,128492.3666
446.4,129583.7903
446.8,130795.0718
447.2,131900.9266
447.6,132867.6264
448,134070.4512
448.4,135071.6602
448.8,136023.8154
449.2,137013.2481
449.6,138001.4495
450,138865.9138
450.4,139605.1277
450.8,140499.3392
451.2,141151.506
451.6,141793.4869
452,142470.3713
452.4,142935.9886
452.8,143335.1116
453.2,143781.7811
453.6,144168.9182
454,144365.9427
454.4,144500.9075
454.8,144575.6698
455.2,144596.2844
455.6,144643.7611
456,144373.1942
456.4,144276.915
456.8,144063.6902
457.2,143683.9229
457.6,143256.5563
458,142923.8767
458.4,142384.151
458.8,141714.5563
459.2,141159.6778
459.6,140398.09
460,139833.0098
460.4,138879.8812
460.8,138293.438
461.2,137309.012
461.6,136597.5184
462,135667.2586
462.4,134826.4467
462.8,133868.6807
463.2,132963.2585
463.6,132018.7187
464,131242.0112
464.4,130282.4566
464.8,129519.7308
465.2,128582.8955
465.6,127911.092
466,127098.5679
466.4,126147.9274
466.8,125521.2042
467.2,124923.6758
467.6,124177.4772
468,123693.3008
468.4,123239.602
468.8,122850.9503
469.2,122270.3541
469.6,121987.7975
470,121696.7009
470.4,121545.8395
470.8,121332.8444
471.2,121066.8772
471.6,120964.0453
472,121077.968
472.4,121123.8658
472.8,120936.9376
473.2,121064.2541
473.6,121299.6857
474,121533.8747
474.4,121836.6357
474.8,122045.8821
475.2,122395.0984
475.6,122694.3228
476,123085.285
476.4,123451.8054
476.8,123876.4169
477.2,124398.47
477.6,124786.9662
478,125122.9897
478.4,125524.2379
478.8,125889.7535
479.2,126365.8759
479.6,126571.1417
480,126918.3553
480.4,127189.2135
480.8,127272.8097
481.2,127537.1264
481.6,127619.6244
482,127615.1562
482.4,127712.2508
482.8,127738.5761
483.2,127604.1259
483.6,127408.6491
484,127177.507
484.4,126754.3857
484.8,126378.4516
485.2,125934.014
485.6,125378.2623
486,124771.603
486.4,124041.4792
486.8,123257.6958
487.2,122465.2223
487.6,121560.1853
488,120462.2848
488.4,119380.2697
488.8,118161.6902
489.2,116957.2489
489.6,115561.5225
490,114245.9646
490.4,112832.4641
490.8,111095.8832
491.2,109667.6881
491.6,108149.457
492,106249.2405
492.4,104551.4768
492.8,102614.8751
493.2,100775.7721
493.6,98996.10252
494,96880.00843
494.4,95007.74586
494.8,92959.19548
495.2,91007.82456
495.6,88875.81164
496,86883.18676
496.4,84737.37298
496.8,82605.4736
497.2,80470.99479
497.6,78359.51843
498,76335.56319
498.4,74275.93408
498.8,72155.68376
499.2,70065.7222
499.6,67976.92051
500,65910.08566
500.4,63937.03115
500.8,61898.1344
501.2,59852.981
501.6,57955.94765
502,55995.62023
502.4,54066.92655
502.8,52117.13286
503.2,50456.90949
503.6,48610.21342
504,46726.04939
504.4,45075.14116
504.8,43464.0592
505.2,41766.39578
505.6,40318.96749
506,38721.75279
506.4,37247.99019
506.8,35748.92846
507.2,34322.11471
507.6,32906.83815
508,31573.36596
508.4,30299.68326
508.8,29113.3863
509.2,27954.33243
509.6,26821.07643
510,25608.18633
510.4,24677.45859
510.8,23574.04101
511.2,22436.19596
511.6,21438.25445
512,20558.93732
512.4,19584.60416
512.8,18760.02564
513.2,18125.51782
513.6,17230.98326
514,16512.97902
514.4,15760.93983
514.8,14864.8233
515.2,14463.61796
515.6,13728.23547
516,13173.05834
516.4,12518.81089
516.8,11830.55335
517.2,11445.65249
517.6,10978.49092
518,10475.41299
518.4,10085.92781
518.8,9557.907256
519.2,9190.281777
519.6,8788.278594
520,8419.663743
520.4,8120.435078
520.8,7786.164534
521.2,7407.620124
521.6,7280.997347
522,6846.810227
522.4,6684.780519
522.8,6386.228837
523.2,6155.537083
523.6,5872.153978
524,5631.171882
524.4,5495.376201
524.8,5382.698675
525.2,5057.645581
