nm,Chl_b90
350,28431.8973
350.4,28215.16422
350.8,28056.44237
351.2,27871.61773
351.6,27703.43374
352,27657.77735
352.4,27378.88643
352.8,27243.3923
353.2,27167.54213
353.6,27133.13543
354,26951.14234
354.4,26820.32537
354.8,26819.21791
355.2,26683.57678
355.6,26709.02777
356,26749.03094
356.4,26570.98284
356.8,26707.41398
357.2,26471.66565
357.6,26589.24858
358,26442.91181
358.4,26477.60014
358.8,26252.61282
359.2,26271.42169
359.6,26302.6
360,26196.55329
360.4,26058.01845
360.8,25937.82927
361.2,25900.48943
361.6,25979.92147
362,25812.16453
362.4,25679.567
362.8,25586.94691
363.2,25478.20424
363.6,25300.07024
364,25244.80276
364.4,25167.77722
364.8,24879.68014
365.2,24807.24053
365.6,24561.35488
366,24462.85806
366.4,24262.27358
366.8,24056.6544
367.2,23891.23477
367.6,23719.01839
368,23614.27262
368.4,23405.5633
368.8,23271.01952
369.2,23065.53845
369.6,22935.46612
370,22684.96443
370.4,22538.50468
370.8,22410.87387
371.2,22290.71595
371.6,22183.5778
372,22119.68759
372.4,22022.51
372.8,21929.8075
373.2,21796.86938
373.6,21746.19703
374,21676.82526
374.4,21615.76925
374.8,21536.9059
375.2,21487.71526
375.6,21403.65802
376,21301.66495
376.4,21261.20424
376.8,21170.87436
377.2,21169.90979
377.6,21094.55034
378,21026.54796
378.4,20905.59206
378.8,20787.08888
379.2,20687.34962
379.6,20574.31556
380,20457.06975
380.4,20369.61213
380.8,20161.18818
381.2,19986.48697
381.6,19870.32518
382,19659.34061
382.4,19454.39208
382.8,19222.19903
383.2,18981.82336
383.6,18702.43716
384,18449.19346
384.4,18182.29263
384.8,17810.36915
385.2,17516.18673
385.6,17191.78413
386,16875.8221
386.4,16536.73637
386.8,16215.76979
387.2,15864.73748
387.6,15555.91504
388,15208.9538
388.4,14839.29243
388.8,14554.50019
389.2,14246.09875
389.6,13910.238
390,13669.27963
390.4,13336.59229
390.8,13091.16573
391.2,12857.27038
391.6,12647.86054
392,12449.80042
392.4,12229.89184
392.8,12081.3764
393.2,11882.49959
393.6,11750.89921
394,11634.93472
394.4,11576.45386
394.8,11481.46223
395.2,11432.83119
395.6,11343.78717
396,11316.90285
396.4,11273.4844
396.8,11268.96226
397.2,11315.61826
397.6,11325.57593
398,11365.84637
398.4,11385.1402
398.8,11457.55003
399.2,11553.83842
399.6,11645.23749
400,11744.38026
400.4,11811.26621
400.8,11912.20123
401.2,12023.64739
401.6,12128.00244
402,12260.93437
402.4,12372.55884
402.8,12483.44157
403.2,12630.81852
403.6,12707.47551
404,12864.68804
404.4,12994.8364
404.8,13122.42826
405.2,13233.27216
405.6,13426.49395
406,13494.84349
406.4,13670.89321
406.8,13799.36313
407.2,14006.43245
407.6,14136.17899
408,14289.47483
408.4,14442.02509
408.8,14633.60797
409.2,14816.87654
409.6,14996.69696
410,15219.96773
410.4,15417.36344
410.8,15655.08473
411.2,15899.57968
411.6,16149.22151
412,16417.72415
412.4,16698.40343
412.8,17016.10271
413.2,17349.233
413.6,17731.82329
414,18093.1416
414.4,18521.55891
414.8,18980.11222
415.2,19446.19345
415.6,19968.74329
416,20524.10292
416.4,21082.7665
416.8,21669.39362
417.2,22328.39313
417.6,22982.83318
418,23677.46407
418.4,24419.06674
418.8,25183.22018
419.2,25947.83463
