nm,Chl_a70
350,25991.660417720
350.4,26107.74831
350.8,26552.06484
351.2,26560.04749
351.6,26676.89878
352,26855.93716
352.4,26927.90924
352.8,27358.20614
353.2,27498.01663
353.6,27457.81995
354,27917.28073
354.4,28020.8826
354.8,28258.83466
355.2,28709.55538
355.6,28916.5256
356,29303.70787
356.4,29433.86594
356.8,29644.83089
357.2,29935.67038
357.6,30194.40367
358,30481.43263
358.4,30556.45005
358.8,30834.12736
359.2,31154.02817
359.6,31489.2767
360,31702.65405
360.4,31948.36501
360.8,32178.74229
361.2,32612.67015
361.6,32889.8016
362,33113.1701
362.4,33381.15494
362.8,33774.93303
363.2,34047.14707
363.6,34498.35387
364,34850.17939
364.4,35117.11924
364.8,35532.8888
365.2,35810.07015
365.6,36125.54674
366,36540.79209
366.4,36837.25108
366.8,37223.9284
367.2,37548.44104
367.6,38004.72663
368,38353.19143
368.4,38745.32683
368.8,39079.96639
369.2,39487.79914
369.6,39899.60268
370,40290.26011
370.4,40680.41599
370.8,41069.35147
371.2,41497.2498
371.6,41855.53935
372,42256.67708
372.4,42515.99389
372.8,42861.63757
373.2,43221.70234
373.6,43513.59833
374,43872.01064
374.4,44170.13596
374.8,44412.76141
375.2,44660.09768
375.6,44911.61853
376,45008.52895
376.4,45230.99681
376.8,45404.04244
377.2,45500.10052
377.6,45569.43353
378,45672.75458
378.4,45714.1239
378.8,45839.87337
379.2,45807.01724
379.6,45832.69969
380,45878.61279
380.4,45925.49776
380.8,45881.49468
381.2,45888.45126
381.6,45866.47728
382,45810.29795
382.4,45799.44558
382.8,45761.31041
383.2,45792.66229
383.6,45753.31408
384,45686.19109
384.4,45600.94932
384.8,45636.87171
385.2,45558.61911
385.6,45554.84754
386,45549.09706
386.4,45474.91723
386.8,45397.66281
387.2,45323.88648
387.6,45299.1171
388,45224.13659
388.4,45203.89027
388.8,45153.8718
389.2,45166.1218
389.6,45166.39418
390,45064.89993
390.4,45041.40892
390.8,45052.86975
391.2,45055.05748
391.6,45082.16906
392,45079.39325
392.4,45086.3337
392.8,45105.33848
393.2,45153.29216
393.6,45222.42368
394,45366.81354
394.4,45432.43416
394.8,45600.8949
395.2,45670.06365
395.6,45907.42918
396,46113.73311
396.4,46332.68382
