nm,Chl_b70
350,29528.39899
350.4,29662.59955
350.8,29347.5973
351.2,29176.22722
351.6,28908.7096
352,28641.11679
352.4,28328.57444
352.8,28399.4457
353.2,28176.82004
353.6,27975.54959
354,27973.62662
354.4,27754.46874
354.8,27786.08505
355.2,27695.76491
355.6,27387.86044
356,27499.27448
356.4,27440.08465
356.8,27375.66743
357.2,27246.63739
357.6,27145.15936
358,27100.42503
358.4,26947.41158
358.8,26920.26789
359.2,26784.6391
359.6,26837.10853
360,26769.39402
360.4,26754.22749
360.8,26520.3492
361.2,26594.48865
361.6,26451.13635
362,26401.52979
362.4,26281.04174
362.8,26267.47855
363.2,26146.14827
363.6,25981.7267
364,25873.35753
364.4,25743.39154
364.8,25686.59281
365.2,25475.9316
365.6,25363.26606
366,25193.2304
366.4,24965.43036
366.8,24851.66569
367.2,24636.96233
367.6,24487.53126
368,24377.47559
368.4,24170.93316
368.8,24106.52649
369.2,23862.35212
369.6,23771.25238
370,23543.98435
370.4,23298.99567
370.8,23199.37987
371.2,23071.48879
371.6,22898.61134
372,22752.26739
372.4,22693.84134
372.8,22612.12092
373.2,22470.35223
373.6,22399.56844
374,22365.77136
374.4,22315.52927
374.8,22153.5651
375.2,22160.83544
375.6,22032.07174
376,21909.71186
376.4,21896.11001
376.8,21778.21867
377.2,21739.16039
377.6,21631.25464
378,21604.97623
378.4,21483.10402
378.8,21345.03671
379.2,21270.00054
379.6,21241.02325
380,21043.52805
380.4,20943.38444
380.8,20798.14875
381.2,20686.8161
381.6,20487.98001
382,20333.22717
382.4,20122.30286
382.8,19911.23409
383.2,19759.55357
383.6,19519.04012
384,19230.04969
384.4,18965.53937
384.8,18669.58285
385.2,18409.83191
385.6,18099.13308
386,17851.66779
386.4,17475.60038
386.8,17203.74552
387.2,16878.87827
387.6,16508.32195
388,16139.56473
388.4,15864.11923
388.8,15540.00236
389.2,15222.90093
389.6,14903.19591
390,14566.48206
390.4,14242.14127
390.8,13959.49856
391.2,13702.60219
391.6,13392.15287
392,13171.61486
392.4,12866.81921
392.8,12660.50991
393.2,12438.20737
393.6,12213.48255
394,12048.83948
394.4,11931.54312
394.8,11778.59463
395.2,11622.16966
395.6,11491.1486
396,11399.20035
396.4,11328.73322
396.8,11228.39882
397.2,11199.0852
397.6,11111.63476
398,11135.28446
398.4,11172.85295
398.8,11147.31907
399.2,11138.02297
399.6,11190.22688
400,11233.73193
400.4,11284.42223
400.8,11401.95452
401.2,11442.94465
401.6,11477.51012
402,11607.86344
402.4,11701.46021
402.8,11765.97762
403.2,11822.41787
403.6,11926.26044
404,12058.86443
404.4,12232.28658
404.8,12309.44978
405.2,12459.09725
405.6,12576.15571
406,12679.68914
406.4,12816.32528
406.8,12981.1681
407.2,13111.75792
407.6,13239.3195
408,13394.91409
408.4,13569.73101
408.8,13695.37609
409.2,13867.75937
409.6,14023.33716
410,14233.97076
410.4,14378.76087
410.8,14571.92643
411.2,14788.14269
411.6,15013.98189
412,15205.4805
412.4,15462.79279
412.8,15696.94072
413.2,15978.37751
413.6,16252.85943
414,16556.90695
414.4,16880.95317
414.8,17197.70825
415.2,17541.80551
415.6,17931.35364
416,18327.95057
416.4,18759.8275
416.8,19207.40302
417.2,19714.76401
417.6,20220.47356
418,20789.28418
418.4,21348.62216
418.8,21936.79117
419.2,22554.73714
419.6,23199.0004
420,23875.39458
420.4,24565.51523
420.8,25309.93034
421.2,26061.76197
421.6,26832.70174
422,27651.97068
422.4,28480.8467
422.8,29309.24535
423.2,30190.04435
423.6,31063.84951
424,31976.42652
424.4,32847.87525
424.8,33760.98859
425.2,34672.80948
425.6,35581.23484
426,36484.58471
426.4,37331.81091
426.8,38268.19083
427.2,39129.56105
427.6,39986.11674
428,40837.19806
428.4,41695.75589
428.8,42473.69822
429.2,43257.31163
429.6,43981.6544
430,44719.39409
430.4,45426.4156
430.8,46047.96626
431.2,46688.64617
431.6,47252.83501
432,47831.13196
432.4,48359.09951
432.8,48813.80341
433.2,49263.0303
433.6,49711.34464
434,50067.86852
434.4,50444.84584
434.8,50769.24341
435.2,51079.68692
435.6,51342.41882
436,51629.67654
436.4,51866.96704
436.8,52127.00899
437.2,52359.11216
437.6,52618.65892
438,52866.88267
438.4,53091.63399
438.8,53376.99717
439.2,53693.54159
439.6,53987.11599
440,54323.19273
440.4,54714.91086
440.8,55184.0613
441.2,55575.95021
441.6,56111.31382
442,56706.04366
442.4,57299.98985
442.8,58029.14407
443.2,58763.79344
443.6,59628.01033
444,60568.22127
444.4,61519.09996
444.8,62593.45803
445.2,63766.53325
445.6,65069.2273
446,66387.48714
446.4,67864.27714
446.8,69344.81734
447.2,70968.43494
447.6,72664.46222
448,74490.32785
448.4,76356.68539
448.8,78322.51094
449.2,80367.85369
449.6,82464.42709
450,84638.80784
450.4,86876.96335
450.8,89146.96559
451.2,91468.38359
451.6,93828.15382
452,96205.6532
452.4,98544.99715
452.8,100923.6451
453.2,103303.493
453.6,105615.7567
454,107892.1675
454.4,110095.0826
454.8,112288.0129
455.2,114348.4084
455.6,116315.4536
456,118171.1008
456.4,119907.1498
456.8,121547.4413
457.2,123028.1669
457.6,124372.7361
458,125542.1979
458.4,126514.5605
458.8,127337.1286
459.2,127984.7918
459.6,128452.2328
460,128754.7745
460.4,128869.1344
460.8,128826.6826
461.2,128552.0729
461.6,128147.973
462,127532.5815
462.4,126763.0309
