nm,Chl_a90
466.8,626.20591
467.2,603.58881
467.6,585.22235
468,572.62261
468.4,564.33187
468.8,540.17034
469.2,533.75289
469.6,537.18024
470,504.31045
470.4,491.10439
470.8,475.17489
471.2,477.50898
471.6,464.22192
472,466.74507
472.4,461.08101
472.8,464.0405
473.2,451.24945
473.6,450.58848
474,451.64926
474.4,450.92552
474.8,448.36704
475.2,444.23382
475.6,425.9967
476,441.3822
476.4,437.50502
476.8,439.55569
477.2,440.53916
477.6,458.90258
478,452.76329
478.4,467.49303
478.8,467.91836
479.2,474.35089
479.6,490.32506
480,497.52858
480.4,503.39059
480.8,508.25089
481.2,533.12024
481.6,537.02153
482,552.68301
482.4,557.93057
482.8,577.80733
483.2,590.84569
483.6,610.11927
484,617.21944
484.4,631.43442
484.8,664.46614
485.2,664.40236
485.6,670.19774
486,686.94411
486.4,709.61673
486.8,699.7721
487.2,720.94605
487.6,718.40292
488,743.0808
488.4,780.83201
488.8,823.04252
489.2,837.33238
489.6,857.88836
490,876.11436
490.4,876.97135
490.8,899.68244
491.2,908.42771
491.6,920.35909
492,938.73053
492.4,949.90865
492.8,963.34303
493.2,974.00379
493.6,977.43027
494,998.99991
494.4,1008.54227
494.8,996.58844
495.2,1011.32203
495.6,1023.33692
496,1020.15967
496.4,1035.37189
496.8,1038.72059
497.2,1042.19251
497.6,1036.20399
498,1040.98697
498.4,1055.68452
498.8,1057.32964
499.2,1042.66051
499.6,1055.40347
500,1058.85086
500.4,1050.91428
500.8,1071.36675
501.2,1053.70691
501.6,1050.5265
502,1070.64655
502.4,1067.26765
502.8,1068.42822
503.2,1065.09081
503.6,1067.68016
504,1067.70336
504.4,1077.93515
504.8,1078.3962
505.2,1074.93875
505.6,1071.74129
506,1087.84281
506.4,1090.8248
506.8,1077.68718
507.2,1084.14794
507.6,1089.0477
508,1082.13731
508.4,1098.23908
508.8,1109.68258
509.2,1100.48418
509.6,1120.24343
510,1115.36293
510.4,1125.33811
510.8,1141.51611
511.2,1150.82502
511.6,1166.44886
512,1179.58022
512.4,1200.21462
512.8,1219.30644
513.2,1230.92163
513.6,1237.09819
514,1280.23264
514.4,1297.66897
514.8,1319.85723
515.2,1350.49766
515.6,1367.92052
516,1409.96657
516.4,1433.10203
516.8,1484.79644
517.2,1508.21529
517.6,1546.68717
518,1590.36817
518.4,1637.27082
518.8,1663.25918
519.2,1692.21092
519.6,1734.89435
520,1775.41822
520.4,1817.39552
520.8,1849.42817
521.2,1906.5776
521.6,1955.70745
522,1978.25182
522.4,2020.03574
522.8,2059.0665
523.2,2085.36137
523.6,2140.97405
524,2174.86043
524.4,2202.37071
524.8,2263.47327
525.2,2291.37799
525.6,2341.95945
526,2356.64125
526.4,2392.87625
526.8,2424.82889
527.2,2459.15163
527.6,2477.56085
528,2519.60005
528.4,2526.26444
528.8,2550.22623
529.2,2576.72896
529.6,2612.54671
530,2631.65927
530.4,2645.59643
530.8,2661.28966
531.2,2681.22769
531.6,2700.19191
532,2721.11518
532.4,2729.63382
532.8,2740.58683
533.2,2753.90857
533.6,2760.09515
534,2767.78092
534.4,2773.58159
534.8,2790.29532
535.2,2779.05174
535.6,2796.24665
536,2787.00846
536.4,2789.54718
536.8,2788.08222
537.2,2776.90155
537.6,2793.68859
538,2780.2268
538.4,2781.53957
538.8,2771.71478
539.2,2778.4012
539.6,2757.17219
540,2764.53725
540.4,2749.26248
540.8,2759.96005
541.2,2750.55788
541.6,2725.97874
542,2714.60409
542.4,2724.70924
542.8,2702.47281
543.2,2711.57345
543.6,2688.34993
544,2675.61633
544.4,2692.92507
544.8,2684.13459
545.2,2663.33886
545.6,2663.88871
546,2642.6813
546.4,2643.72582
546.8,2643.33427
547.2,2649.13487
547.6,2657.66233
548,2638.25664
548.4,2639.65372
