nm,Beta80
350,21911
350.4,21444
350.8,21135
351.2,21069
351.6,21087
352,21070
352.4,21180
352.8,20999
353.2,20822
353.6,20598
354,20537
354.4,20312
354.8,20218
355.2,20171
355.6,20051
356,19924
356.4,19853
356.8,19725
357.2,19372
357.6,19364
358,19308
358.4,19237
358.8,19219
359.2,19417
359.6,19324
360,19146
360.4,18993
360.8,18963
361.2,18835
361.6,18800
362,18757
362.4,18794
362.8,18951
363.2,18960
363.6,18875
364,18783
364.4,18801
364.8,18863
365.2,18971
365.6,19045
366,19033
366.4,19048
366.8,19180
367.2,19345
367.6,19550
368,19632
368.4,19723
368.8,19871
369.2,20016
369.6,20116
370,20253
370.4,20506
370.8,20669
371.2,20882
371.6,21072
372,21333
372.4,21604
372.8,21825
373.2,22005
373.6,22210
374,22465
374.4,22692
374.8,22927
375.2,23149
375.6,23428
376,23674
376.4,23938
376.8,24244
377.2,24599
377.6,24779
378,25008
378.4,25352
378.8,25756
379.2,26059
379.6,26390
380,26678
380.4,26916
380.8,27135
381.2,27512
381.6,27895
382,28277
382.4,28606
382.8,28975
383.2,29318
383.6,29707
384,30107
384.4,30514
384.8,30930
385.2,31367
385.6,31792
386,32217
386.4,32617
386.8,33041
387.2,33527
387.6,34003
388,34528
388.4,35107
388.8,35689
389.2,36188
389.6,36696
390,37246
390.4,37790
390.8,38376
391.2,38965
391.6,39542
392,40078
392.4,40655
392.8,41249
393.2,41828
393.6,42421
394,43017
394.4,43627
394.8,44194
395.2,44814
395.6,45402
396,46065
396.4,46643
396.8,47216
397.2,47826
397.6,48500
398,49107
398.4,49631
398.8,50230
399.2,50837
399.6,51439
400,51948
400.4,52492
400.8,53058
401.2,53620
401.6,54112
402,54658
402.4,55257
402.8,55840
403.2,56329
403.6,56811
404,57346
404.4,57928
404.8,58512
405.2,59110
405.6,59709
406,60295
406.4,60856
406.8,61462
407.2,62102
407.6,62773
408,63420
408.4,64040
408.8,64692
409.2,65345
409.6,66007
410,66661
410.4,67375
410.8,68091
411.2,68814
411.6,69540
412,70270
412.4,71008
412.8,71727
413.2,72515
413.6,73334
414,74157
414.4,74928
414.8,75741
415.2,76540
415.6,77365
416,78234
416.4,79067
416.8,79865
417.2,80659
417.6,81524
418,82326
418.4,83116
418.8,83941
419.2,84753
419.6,85517
420,86224
420.4,87008
420.8,87753
421.2,88461
421.6,89153
422,89946
422.4,90697
422.8,91322
423.2,91897
423.6,92506
424,93097
424.4,93648
424.8,94194
425.2,94709
425.6,95174
426,95664
426.4,96108
426.8,96523
427.2,96897
427.6,97346
428,97691
428.4,98012
428.8,98296
429.2,98712
429.6,99100
430,99429
430.4,99745
430.8,100114
431.2,100455
431.6,100774
432,101134
432.4,101517
432.8,101859
433.2,102234
433.6,102668
434,103119
434.4,103574
434.8,104035
435.2,104535
435.6,105011
436,105524
436.4,106116
436.8,106790
437.2,107465
437.6,108120
438,108783
438.4,109471
438.8,110182
439.2,110980
439.6,111809
440,112602
440.4,113393
440.8,114254
441.2,115113
441.6,115969
442,116881
442.4,117763
442.8,118608
443.2,119486
443.6,120433
444,121331
444.4,122177
444.8,123052
445.2,123911
445.6,124716
446,125496
446.4,126318
446.8,127101
447.2,127835
447.6,128533
448,129201
448.4,129826
448.8,130431
449.2,131001
449.6,131515
450,132006
450.4,132407
450.8,132808
451.2,133106
451.6,133405
452,133603
452.4,133784
452.8,133865
453.2,133934
453.6,133964
454,133957
454.4,133870
454.8,133709
455.2,133538
455.6,133306
456,133030
456.4,132709
456.8,132358
457.2,131936
457.6,131501
458,131047
458.4,130549
458.8,130019
459.2,129462
459.6,128845
460,128254
460.4,127679
460.8,127090
461.2,126441
461.6,125797
462,125120
462.4,124477
462.8,123866
463.2,123212
463.6,122562
464,121970
464.4,121404
464.8,120809
465.2,120260
465.6,119744
466,119222
466.4,118785
466.8,118365
467.2,117967
467.6,117565
468,117220
468.4,116844
468.8,116568
469.2,116307
469.6,116086
470,115852
470.4,115733
470.8,115617
471.2,115538
471.6,115436
472,115393
472.4,115396
472.8,115439
473.2,115439
473.6,115453
474,115509
474.4,115583
474.8,115637
475.2,115699
475.6,115788
476,115851
476.4,115876
476.8,115868
477.2,115889
477.6,115937
478,115987
478.4,115968
478.8,115886
479.2,115809
479.6,115740
480,115641
480.4,115461
480.8,115243
481.2,114993
481.6,114701
482,114349
482.4,113961
482.8,113513
483.2,112976
483.6,112391
484,111836
484.4,111205
484.8,110488
485.2,109708
485.6,108907
486,108036
486.4,107069
486.8,106082
487.2,105018
487.6,103932
488,102777
488.4,101630
488.8,100394
489.2,99092
489.6,97760
490,96406
490.4,94931
490.8,93399
491.2,91921
491.6,90429
492,88860
492.4,87234
492.8,85599
493.2,83930
493.6,82226
494,80538
494.4,78825
494.8,77122
495.2,75382
495.6,73670
496,71917
496.4,70152
496.8,68373
497.2,66641
497.6,64896
498,63149
498.4,61409
498.8,59670
499.2,57957
499.6,56266
500,54616
500.4,52956
500.8,51340
501.2,49800
501.6,48243
502,46668
502.4,45107
502.8,43675
503.2,42220
503.6,40785
504,39373
504.4,38007
504.8,36629
505.2,35305
505.6,34058
506,32833
506.4,31648
506.8,30496
507.2,29355
507.6,28206
508,27088
508.4,26044
508.8,25028
509.2,24048
509.6,23095
510,22172
510.4,21302
510.8,20468
511.2,19662
511.6,18868
512,18087
512.4,17327
512.8,16616
513.2,15962
513.6,15264
514,14617
514.4,14033
514.8,13488
515.2,12917
515.6,12388
516,11857
516.4,11341
