nm,Beta80
516.8,10854
517.2,10443
517.6,10034
518,9614
518.4,9192
518.8,8810
519.2,8437
519.6,8062
520,7716
520.4,7430
520.8,7146
521.2,6860
521.6,6600
522,6350
522.4,6085
522.8,5855
523.2,5679
523.6,5473
524,5233
524.4,5034
524.8,4862
525.2,4701
525.6,4557
526,4455
526.4,4321
526.8,4161
527.2,4028
527.6,3927
528,3821
528.4,3691
528.8,3588
529.2,3480
529.6,3400
530,3320
530.4,3265
530.8,3144
531.2,3056
531.6,2989
532,2949
532.4,2888
532.8,2810
533.2,2756
533.6,2686
534,2635
534.4,2566
534.8,2540
535.2,2485
535.6,2441
536,2400
536.4,2351
536.8,2275
537.2,2208
537.6,2187
538,2149
538.4,2096
538.8,2042
539.2,1992
539.6,1937
540,1866
540.4,1842
540.8,1824
541.2,1801
541.6,1754
542,1710
542.4,1635
542.8,1564
543.2,1535
543.6,1517
544,1477
544.4,1454
544.8,1467
545.2,1420
545.6,1349
546,1318
546.4,1323
546.8,1302
547.2,1235
547.6,1215
548,1184
548.4,1162
548.8,1130
549.2,1143
549.6,1112
550,1080
550.4,1068
550.8,1072
551.2,1046
551.6,1017
552,1013
552.4,996
552.8,964
553.2,930
553.6,907
554,912
554.4,899
554.8,888
555.2,879
555.6,880
556,863
556.4,829
556.8,808
557.2,773
557.6,756
558,758
558.4,762
558.8,767
559.2,755
559.6,760
560,722
560.4,695
560.8,668
561.2,648
561.6,605
562,611
562.4,638
562.8,646
563.2,636
563.6,613
564,586
564.4,559
564.8,581
565.2,574
565.6,544
566,492
566.4,517
566.8,517
567.2,488
567.6,474
568,487
568.4,467
568.8,435
569.2,428
569.6,424
570,456
570.4,462
570.8,445
571.2,388
571.6,379
572,385
572.4,381
572.8,352
573.2,337
573.6,355
574,325
574.4,311
574.8,322
575.2,334
575.6,353
576,342
576.4,321
576.8,278
577.2,277
577.6,306
578,310
578.4,288
578.8,238
579.2,256
579.6,252
580,241
580.4,210
580.8,238
581.2,230
581.6,227
582,228
582.4,236
582.8,197
583.2,182
583.6,201
584,210
584.4,194
584.8,208
585.2,211
585.6,195
586,155
586.4,161
586.8,176
587.2,182
587.6,185
588,213
588.4,199
588.8,182
589.2,174
589.6,182
590,150
590.4,168
590.8,173
591.2,161
591.6,131
592,165
592.4,189
592.8,205
593.2,188
593.6,194
594,195
594.4,194
594.8,190
595.2,204
595.6,217
596,214
596.4,192
596.8,198
597.2,220
597.6,215
598,221
598.4,229
598.8,228
599.2,251
599.6,276
600,261
600.4,0
600.8,0
601.2,0
601.6,0
602,0
602.4,0
602.8,0
603.2,0
603.6,0
604,0
604.4,0
604.8,0
605.2,0
605.6,0
606,0
606.4,0
606.8,0
607.2,0
607.6,0
608,0
608.4,0
608.8,0
609.2,0
609.6,0
610,0
610.4,0
610.8,0
611.2,0
611.6,0
612,0
612.4,0
612.8,0
613.2,0
613.6,0
614,0
614.4,0
614.8,0
615.2,0
615.6,0
616,0
616.4,0
616.8,0
617.2,0
617.6,0
618,0
618.4,0
618.8,0
619.2,0
619.6,0
620,0
620.4,0
620.8,0
621.2,0
621.6,0
622,0
622.4,0
622.8,0
623.2,0
623.6,0
624,0
624.4,0
624.8,0
625.2,0
625.6,0
626,0
626.4,0
626.8,0
627.2,0
627.6,0
628,0
628.4,0
628.8,0
629.2,0
629.6,0
630,0
630.4,0
630.8,0
631.2,0
631.6,0
632,0
632.4,0
632.8,0
633.2,0
633.6,0
634,0
634.4,0
634.8,0
635.2,0
635.6,0
636,0
636.4,0
636.8,0
637.2,0
637.6,0
638,0
638.4,0
638.8,0
639.2,0
639.6,0
640,0
640.4,0
640.8,0
641.2,0
641.6,0
642,0
642.4,0
642.8,0
643.2,0
643.6,0
644,0
644.4,0
644.8,0
645.2,0
645.6,0
646,0
646.4,0
646.8,0
647.2,0
647.6,0
648,0
648.4,0
648.8,0
649.2,0
649.6,0
650,0
650.4,0
650.8,0
651.2,0
651.6,0
652,0
652.4,0
652.8,0
653.2,0
653.6,0
654,0
654.4,0
654.8,0
655.2,0
655.6,0
656,0
656.4,0
656.8,0
657.2,0
657.6,0
658,0
658.4,0
658.8,0
659.2,0
659.6,0
660,0
660.4,0
660.8,0
661.2,0
661.6,0
662,0
662.4,0
662.8,0
663.2,0
663.6,0
664,0
664.4,0
664.8,0
665.2,0
665.6,0
666,0
666.4,0
666.8,0
667.2,0
667.6,0
668,0
668.4,0
668.8,0
669.2,0
669.6,0
670,0
670.4,0
670.8,0
671.2,0
671.6,0
672,0
672.4,0
672.8,0
673.2,0
673.6,0
674,0
674.4,0
674.8,0
675.2,0
675.6,0
676,0
676.4,0
676.8,0
677.2,0
677.6,0
678,0
678.4,0
678.8,0
679.2,0
679.6,0
680,0
680.4,0
680.8,0
681.2,0
681.6,0
682,0
682.4,0
682.8,0
683.2,0
683.6,0
684,0
684.4,0
684.8,0
685.2,0
685.6,0
686,0
686.4,0
686.8,0
687.2,0
687.6,0
688,0
688.4,0
688.8,0
689.2,0
689.6,0
690,0
690.4,0
690.8,0
691.2,0
691.6,0
692,0
692.4,0
692.8,0
693.2,0
693.6,0
694,0
694.4,0
694.8,0
695.2,0
695.6,0
696,0
696.4,0
696.8,0
697.2,0
697.6,0
698,0
698.4,0
698.8,0
699.2,0
699.6,0
700,0
700.4,0
700.8,0
701.2,0
701.6,0
702,0
702.4,0
702.8,0
703.2,0
703.6,0
704,0
704.4,0
704.8,0
705.2,0
705.6,0
706,0
706.4,0
706.8,0
707.2,0
707.6,0
708,0
708.4,0
708.8,0
709.2,0
709.6,0
710,0
710.4,0
710.8,0
711.2,0
711.6,0
712,0
712.4,0
712.8,0
713.2,0
713.6,0
714,0
714.4,0
714.8,0
715.2,0
715.6,0
716,0
716.4,0
716.8,0
717.2,0
717.6,0
718,0
718.4,0
718.8,0
719.2,0
719.6,0
720,0
720.4,0
720.8,0
721.2,0
721.6,0
722,0
722.4,0
722.8,0
723.2,0
723.6,0
724,0
724.4,0
724.8,0
725.2,0
725.6,0
726,0
726.4,0
726.8,0
727.2,0
727.6,0
728,0
728.4,0
728.8,0
729.2,0
729.6,0
730,0
730.4,0
730.8,0
731.2,0
731.6,0
732,0
732.4,0
732.8,0
733.2,0
733.6,0
734,0
734.4,0
734.8,0
735.2,0
735.6,0
736,0
736.4,0
736.8,0
737.2,0
737.6,0
738,0
738.4,0
738.8,0
739.2,0
739.6,0
740,0
740.4,0
740.8,0
741.2,0
741.6,0
742,0
742.4,0
742.8,0
743.2,0
743.6,0
744,0
744.4,0
744.8,0
745.2,0
745.6,0
746,0
746.4,0
746.8,0
747.2,0
747.6,0
748,0
748.4,0
748.8,0
749.2,0
749.6,0
750,0
